"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Anderson County, Texas",""
"    Number",""
"        Estimate","16,555"
"    Percent Distribution",""
"        Estimate","16,555"
"    Median income (dollars)",""
"        Estimate","45,847"
"Andrews County, Texas",""
"    Number",""
"        Estimate","5,649"
"    Percent Distribution",""
"        Estimate","5,649"
"    Median income (dollars)",""
"        Estimate","75,147"
"Angelina County, Texas",""
"    Number",""
"        Estimate","31,368"
"    Percent Distribution",""
"        Estimate","31,368"
"    Median income (dollars)",""
"        Estimate","49,684"
"Aransas County, Texas",""
"    Number",""
"        Estimate","9,917"
"    Percent Distribution",""
"        Estimate","9,917"
"    Median income (dollars)",""
"        Estimate","47,924"
"Archer County, Texas",""
"    Number",""
"        Estimate","3,513"
"    Percent Distribution",""
"        Estimate","3,513"
"    Median income (dollars)",""
"        Estimate","63,958"
"Armstrong County, Texas",""
"    Number",""
"        Estimate","720"
"    Percent Distribution",""
"        Estimate","720"
"    Median income (dollars)",""
"        Estimate","69,386"
"Atascosa County, Texas",""
"    Number",""
"        Estimate","15,798"
"    Percent Distribution",""
"        Estimate","15,798"
"    Median income (dollars)",""
"        Estimate","59,251"
"Austin County, Texas",""
"    Number",""
"        Estimate","11,569"
"    Percent Distribution",""
"        Estimate","11,569"
"    Median income (dollars)",""
"        Estimate","64,468"
"Bailey County, Texas",""
"    Number",""
"        Estimate","2,056"
"    Percent Distribution",""
"        Estimate","2,056"
"    Median income (dollars)",""
"        Estimate","55,038"
"Bandera County, Texas",""
"    Number",""
"        Estimate","8,697"
"    Percent Distribution",""
"        Estimate","8,697"
"    Median income (dollars)",""
"        Estimate","60,361"
"Bastrop County, Texas",""
"    Number",""
"        Estimate","26,173"
"    Percent Distribution",""
"        Estimate","26,173"
"    Median income (dollars)",""
"        Estimate","71,820"
"Baylor County, Texas",""
"    Number",""
"        Estimate","1,621"
"    Percent Distribution",""
"        Estimate","1,621"
"    Median income (dollars)",""
"        Estimate","40,946"
"Bee County, Texas",""
"    Number",""
"        Estimate","8,499"
"    Percent Distribution",""
"        Estimate","8,499"
"    Median income (dollars)",""
"        Estimate","45,287"
"Bell County, Texas",""
"    Number",""
"        Estimate","125,747"
"    Percent Distribution",""
"        Estimate","125,747"
"    Median income (dollars)",""
"        Estimate","54,987"
"Bexar County, Texas",""
"    Number",""
"        Estimate","644,561"
"    Percent Distribution",""
"        Estimate","644,561"
"    Median income (dollars)",""
"        Estimate","58,288"
"Blanco County, Texas",""
"    Number",""
"        Estimate","4,665"
"    Percent Distribution",""
"        Estimate","4,665"
"    Median income (dollars)",""
"        Estimate","70,397"
"Borden County, Texas",""
"    Number",""
"        Estimate","223"
"    Percent Distribution",""
"        Estimate","223"
"    Median income (dollars)",""
"        Estimate","83,281"
"Bosque County, Texas",""
"    Number",""
"        Estimate","7,255"
"    Percent Distribution",""
"        Estimate","7,255"
"    Median income (dollars)",""
"        Estimate","57,337"
"Bowie County, Texas",""
"    Number",""
"        Estimate","34,283"
"    Percent Distribution",""
"        Estimate","34,283"
"    Median income (dollars)",""
"        Estimate","51,796"
