"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Median income (dollars)",""
"        Estimate","35,509"
"Manatee County, Florida",""
"    Number",""
"        Estimate","143,652"
"    Percent Distribution",""
"        Estimate","143,652"
"    Median income (dollars)",""
"        Estimate","56,036"
"Marion County, Florida",""
"    Number",""
"        Estimate","136,514"
"    Percent Distribution",""
"        Estimate","136,514"
"    Median income (dollars)",""
"        Estimate","43,361"
"Martin County, Florida",""
"    Number",""
"        Estimate","63,865"
"    Percent Distribution",""
"        Estimate","63,865"
"    Median income (dollars)",""
"        Estimate","57,959"
"Miami-Dade County, Florida",""
"    Number",""
"        Estimate","870,051"
"    Percent Distribution",""
"        Estimate","870,051"
"    Median income (dollars)",""
"        Estimate","48,982"
"Monroe County, Florida",""
"    Number",""
"        Estimate","30,982"
"    Percent Distribution",""
"        Estimate","30,982"
"    Median income (dollars)",""
"        Estimate","67,023"
"Nassau County, Florida",""
"    Number",""
"        Estimate","31,241"
"    Percent Distribution",""
"        Estimate","31,241"
"    Median income (dollars)",""
"        Estimate","66,297"
"Okaloosa County, Florida",""
"    Number",""
"        Estimate","77,403"
"    Percent Distribution",""
"        Estimate","77,403"
"    Median income (dollars)",""
"        Estimate","62,048"
"Okeechobee County, Florida",""
"    Number",""
"        Estimate","13,759"
"    Percent Distribution",""
"        Estimate","13,759"
"    Median income (dollars)",""
"        Estimate","40,367"
"Orange County, Florida",""
"    Number",""
"        Estimate","458,613"
"    Percent Distribution",""
"        Estimate","458,613"
"    Median income (dollars)",""
"        Estimate","54,335"
"Osceola County, Florida",""
"    Number",""
"        Estimate","99,158"
"    Percent Distribution",""
"        Estimate","99,158"
"    Median income (dollars)",""
"        Estimate","50,063"
"Palm Beach County, Florida",""
"    Number",""
"        Estimate","548,216"
"    Percent Distribution",""
"        Estimate","548,216"
"    Median income (dollars)",""
"        Estimate","59,943"
"Pasco County, Florida",""
"    Number",""
"        Estimate","199,227"
"    Percent Distribution",""
"        Estimate","199,227"
"    Median income (dollars)",""
"        Estimate","50,417"
"Pinellas County, Florida",""
"    Number",""
"        Estimate","407,720"
"    Percent Distribution",""
"        Estimate","407,720"
"    Median income (dollars)",""
"        Estimate","51,454"
"Polk County, Florida",""
"    Number",""
"        Estimate","231,260"
"    Percent Distribution",""
"        Estimate","231,260"
"    Median income (dollars)",""
"        Estimate","48,500"
"Putnam County, Florida",""
"    Number",""
"        Estimate","28,264"
"    Percent Distribution",""
"        Estimate","28,264"
"    Median income (dollars)",""
"        Estimate","35,649"
"St. Johns County, Florida",""
"    Number",""
"        Estimate","86,268"
"    Percent Distribution",""
"        Estimate","86,268"
"    Median income (dollars)",""
"        Estimate","77,323"
"St. Lucie County, Florida",""
"    Number",""
"        Estimate","112,872"
"    Percent Distribution",""
"        Estimate","112,872"
"    Median income (dollars)",""
"        Estimate","49,373"
"Santa Rosa County, Florida",""
"    Number",""
"        Estimate","61,345"
"    Percent Distribution",""
"        Estimate","61,345"
"    Median income (dollars)",""
"        Estimate","66,242"
"Sarasota County, Florida",""
"    Number",""
"        Estimate","180,551"
"    Percent Distribution",""
"        Estimate","180,551"
"    Median income (dollars)",""
"        Estimate","58,644"
"Seminole County, Florida",""
"    Number",""
"        Estimate","167,304"
"    Percent Distribution",""
"        Estimate","167,304"
"    Median income (dollars)",""
"        Estimate","63,760"
"Sumter County, Florida",""
"    Number",""
"        Estimate","54,636"
"    Percent Distribution",""
"        Estimate","54,636"
"    Median income (dollars)",""
"        Estimate","55,228"
"Suwannee County, Florida",""
"    Number",""
"        Estimate","15,083"
"    Percent Distribution",""
"        Estimate","15,083"
"    Median income (dollars)",""
"        Estimate","42,686"
"Taylor County, Florida",""
"    Number",""
"        Estimate","7,356"
"    Percent Distribution",""
"        Estimate","7,356"
"    Median income (dollars)",""
"        Estimate","36,934"
"Union County, Florida",""
"    Number",""
"        Estimate","3,892"
"    Percent Distribution",""
"        Estimate","3,892"
"    Median income (dollars)",""
"        Estimate","41,770"
"Volusia County, Florida",""
"    Number",""
"        Estimate","212,985"
"    Percent Distribution",""
"        Estimate","212,985"
"    Median income (dollars)",""
"        Estimate","46,760"
"Wakulla County, Florida",""
"    Number",""
"        Estimate","11,068"
"    Percent Distribution",""
"        Estimate","11,068"
"    Median income (dollars)",""
"        Estimate","62,778"
"Walton County, Florida",""
"    Number",""
"        Estimate","26,432"
"    Percent Distribution",""
"        Estimate","26,432"
"    Median income (dollars)",""
"        Estimate","53,785"
"Washington County, Florida",""
"    Number",""
"        Estimate","8,484"
"    Percent Distribution",""
"        Estimate","8,484"
"    Median income (dollars)",""
"        Estimate","37,188"
