"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Brazoria County, Texas",""
"    Number",""
"        Estimate","124,284"
"    Percent Distribution",""
"        Estimate","124,284"
"    Median income (dollars)",""
"        Estimate","87,958"
"Brazos County, Texas",""
"    Number",""
"        Estimate","83,627"
"    Percent Distribution",""
"        Estimate","83,627"
"    Median income (dollars)",""
"        Estimate","52,658"
"Brewster County, Texas",""
"    Number",""
"        Estimate","4,706"
"    Percent Distribution",""
"        Estimate","4,706"
"    Median income (dollars)",""
"        Estimate","48,679"
"Briscoe County, Texas",""
"    Number",""
"        Estimate","557"
"    Percent Distribution",""
"        Estimate","557"
"    Median income (dollars)",""
"        Estimate","38,469"
"Brooks County, Texas",""
"    Number",""
"        Estimate","2,425"
"    Percent Distribution",""
"        Estimate","2,425"
"    Median income (dollars)",""
"        Estimate","26,827"
"Brown County, Texas",""
"    Number",""
"        Estimate","14,651"
"    Percent Distribution",""
"        Estimate","14,651"
"    Median income (dollars)",""
"        Estimate","49,232"
"Burleson County, Texas",""
"    Number",""
"        Estimate","7,178"
"    Percent Distribution",""
"        Estimate","7,178"
"    Median income (dollars)",""
"        Estimate","64,109"
"Burnet County, Texas",""
"    Number",""
"        Estimate","17,941"
"    Percent Distribution",""
"        Estimate","17,941"
"    Median income (dollars)",""
"        Estimate","65,363"
"Caldwell County, Texas",""
"    Number",""
"        Estimate","14,315"
"    Percent Distribution",""
"        Estimate","14,315"
"    Median income (dollars)",""
"        Estimate","63,380"
"Calhoun County, Texas",""
"    Number",""
"        Estimate","7,748"
"    Percent Distribution",""
"        Estimate","7,748"
"    Median income (dollars)",""
"        Estimate","61,887"
"Callahan County, Texas",""
"    Number",""
"        Estimate","5,247"
"    Percent Distribution",""
"        Estimate","5,247"
"    Median income (dollars)",""
"        Estimate","55,820"
"Cameron County, Texas",""
"    Number",""
"        Estimate","130,030"
"    Percent Distribution",""
"        Estimate","130,030"
"    Median income (dollars)",""
"        Estimate","43,057"
"Camp County, Texas",""
"    Number",""
"        Estimate","4,385"
"    Percent Distribution",""
"        Estimate","4,385"
"    Median income (dollars)",""
"        Estimate","50,947"
"Carson County, Texas",""
"    Number",""
"        Estimate","2,282"
"    Percent Distribution",""
"        Estimate","2,282"
"    Median income (dollars)",""
"        Estimate","76,786"
"Cass County, Texas",""
"    Number",""
"        Estimate","11,371"
"    Percent Distribution",""
"        Estimate","11,371"
"    Median income (dollars)",""
"        Estimate","49,626"
"Castro County, Texas",""
"    Number",""
"        Estimate","2,417"
"    Percent Distribution",""
"        Estimate","2,417"
"    Median income (dollars)",""
"        Estimate","53,551"
"Chambers County, Texas",""
"    Number",""
"        Estimate","14,905"
"    Percent Distribution",""
"        Estimate","14,905"
"    Median income (dollars)",""
"        Estimate","93,707"
"Cherokee County, Texas",""
"    Number",""
"        Estimate","18,173"
"    Percent Distribution",""
"        Estimate","18,173"
"    Median income (dollars)",""
"        Estimate","54,222"
"Childress County, Texas",""
"    Number",""
"        Estimate","2,070"
"    Percent Distribution",""
"        Estimate","2,070"
"    Median income (dollars)",""
"        Estimate","53,092"
"Clay County, Texas",""
"    Number",""
"        Estimate","4,119"
"    Percent Distribution",""
"        Estimate","4,119"
"    Median income (dollars)",""
"        Estimate","69,967"
"Cochran County, Texas",""
"    Number",""
"        Estimate","973"
"    Percent Distribution",""
"        Estimate","973"
"    Median income (dollars)",""
"        Estimate","38,203"
"Coke County, Texas",""
"    Number",""
"        Estimate","1,384"
"    Percent Distribution",""
"        Estimate","1,384"
"    Median income (dollars)",""
"        Estimate","42,639"
"Coleman County, Texas",""
"    Number",""
"        Estimate","3,222"
"    Percent Distribution",""
"        Estimate","3,222"
"    Median income (dollars)",""
"        Estimate","47,216"
"Collin County, Texas",""
"    Number",""
"        Estimate","369,168"
"    Percent Distribution",""
"        Estimate","369,168"
"    Median income (dollars)",""
"        Estimate","104,327"
"Collingsworth County, Texas",""
"    Number",""
"        Estimate","1,053"
"    Percent Distribution",""
"        Estimate","1,053"
"    Median income (dollars)",""
"        Estimate","42,446"
"Colorado County, Texas",""
"    Number",""
"        Estimate","6,999"
"    Percent Distribution",""
"        Estimate","6,999"
"    Median income (dollars)",""
"        Estimate","55,945"
"Comal County, Texas",""
"    Number",""
"        Estimate","60,714"
"    Percent Distribution",""
"        Estimate","60,714"
"    Median income (dollars)",""
"        Estimate","85,912"
"Comanche County, Texas",""
"    Number",""
"        Estimate","5,138"
"    Percent Distribution",""
"        Estimate","5,138"
"    Median income (dollars)",""
"        Estimate","55,743"
"Concho County, Texas",""
"    Number",""
"        Estimate","803"
"    Percent Distribution",""
"        Estimate","803"
"    Median income (dollars)",""
"        Estimate","46,719"
"Cooke County, Texas",""
"    Number",""
"        Estimate","16,106"
"    Percent Distribution",""
"        Estimate","16,106"
"    Median income (dollars)",""
"        Estimate","63,338"
"Coryell County, Texas",""
"    Number",""
"        Estimate","23,954"
"    Percent Distribution",""
"        Estimate","23,954"
"    Median income (dollars)",""
"        Estimate","58,414"
"Cottle County, Texas",""
"    Number",""
"        Estimate","654"
"    Percent Distribution",""
"        Estimate","654"
"    Median income (dollars)",""
"        Estimate","43,654"
"Crane County, Texas",""
"    Number",""
"        Estimate","1,614"
"    Percent Distribution",""
"        Estimate","1,614"
"    Median income (dollars)",""
"        Estimate","67,804"
"Crockett County, Texas",""
"    Number",""
"        Estimate","1,297"
"    Percent Distribution",""
"        Estimate","1,297"
"    Median income (dollars)",""
"        Estimate","52,731"
"Crosby County, Texas",""
"    Number",""
"        Estimate","1,934"
"    Percent Distribution",""
"        Estimate","1,934"
"    Median income (dollars)",""
"        Estimate","44,304"
"Culberson County, Texas",""
"    Number",""
"        Estimate","634"
"    Percent Distribution",""
"        Estimate","634"
"    Median income (dollars)",""
"        Estimate","34,239"
"Dallam County, Texas",""
"    Number",""
"        Estimate","2,367"
"    Percent Distribution",""
"        Estimate","2,367"
"    Median income (dollars)",""
"        Estimate","61,069"
"Dallas County, Texas",""
"    Number",""
"        Estimate","947,046"
"    Percent Distribution",""
"        Estimate","947,046"
"    Median income (dollars)",""
"        Estimate","65,011"
"Dawson County, Texas",""
"    Number",""
"        Estimate","4,214"
"    Percent Distribution",""
"        Estimate","4,214"
"    Median income (dollars)",""
"        Estimate","42,778"
"Deaf Smith County, Texas",""
"    Number",""
"        Estimate","6,064"
"    Percent Distribution",""
"        Estimate","6,064"
"    Median income (dollars)",""
"        Estimate","49,611"
"Delta County, Texas",""
"    Number",""
"        Estimate","2,057"
"    Percent Distribution",""
"        Estimate","2,057"
"    Median income (dollars)",""
"        Estimate","58,705"
"Denton County, Texas",""
"    Number",""
"        Estimate","321,447"
"    Percent Distribution",""
"        Estimate","321,447"
"    Median income (dollars)",""
"        Estimate","96,265"
"DeWitt County, Texas",""
"    Number",""
"        Estimate","6,610"
"    Percent Distribution",""
"        Estimate","6,610"
"    Median income (dollars)",""
"        Estimate","57,873"
"Dickens County, Texas",""
"    Number",""
"        Estimate","635"
"    Percent Distribution",""
"        Estimate","635"
"    Median income (dollars)",""
"        Estimate","42,241"
"Dimmit County, Texas",""
"    Number",""
"        Estimate","2,902"
"    Percent Distribution",""
"        Estimate","2,902"
"    Median income (dollars)",""
"        Estimate","25,000"
"Donley County, Texas",""
"    Number",""
"        Estimate","1,193"
"    Percent Distribution",""
"        Estimate","1,193"
"    Median income (dollars)",""
"        Estimate","52,888"
"Duval County, Texas",""
"    Number",""
"        Estimate","2,842"
"    Percent Distribution",""
"        Estimate","2,842"
"    Median income (dollars)",""
"        Estimate","43,836"
"Eastland County, Texas",""
"    Number",""
"        Estimate","6,697"
"    Percent Distribution",""
"        Estimate","6,697"
"    Median income (dollars)",""
"        Estimate","43,953"
"Ector County, Texas",""
"    Number",""
"        Estimate","59,019"
"    Percent Distribution",""
"        Estimate","59,019"
"    Median income (dollars)",""
"        Estimate","64,975"
"Edwards County, Texas",""
"    Number",""
"        Estimate","558"
"    Percent Distribution",""
"        Estimate","558"
"    Median income (dollars)",""
"        Estimate","40,000"
"Ellis County, Texas",""
"    Number",""
"        Estimate","62,708"
"    Percent Distribution",""
"        Estimate","62,708"
"    Median income (dollars)",""
"        Estimate","85,272"
"El Paso County, Texas",""
"    Number",""
"        Estimate","288,186"
"    Percent Distribution",""
"        Estimate","288,186"
"    Median income (dollars)",""
"        Estimate","50,919"
"Erath County, Texas",""
"    Number",""
"        Estimate","14,926"
"    Percent Distribution",""
"        Estimate","14,926"
"    Median income (dollars)",""
"        Estimate","56,691"
"Falls County, Texas",""
"    Number",""
"        Estimate","5,419"
"    Percent Distribution",""
"        Estimate","5,419"
"    Median income (dollars)",""
"        Estimate","35,317"
"Fannin County, Texas",""
"    Number",""
"        Estimate","12,470"
"    Percent Distribution",""
"        Estimate","12,470"
"    Median income (dollars)",""
"        Estimate","59,686"
"Fayette County, Texas",""
"    Number",""
"        Estimate","8,720"
"    Percent Distribution",""
"        Estimate","8,720"
"    Median income (dollars)",""
"        Estimate","66,624"
"Fisher County, Texas",""
"    Number",""
"        Estimate","1,533"
"    Percent Distribution",""
"        Estimate","1,533"
"    Median income (dollars)",""
"        Estimate","55,862"
"Floyd County, Texas",""
"    Number",""
"        Estimate","1,894"
"    Percent Distribution",""
"        Estimate","1,894"
"    Median income (dollars)",""
"        Estimate","54,007"
"Foard County, Texas",""
"    Number",""
"        Estimate","471"
"    Percent Distribution",""
"        Estimate","471"
"    Median income (dollars)",""
"        Estimate","37,679"
"Fort Bend County, Texas",""
"    Number",""
"        Estimate","259,106"
"    Percent Distribution",""
"        Estimate","259,106"
"    Median income (dollars)",""
"        Estimate","102,590"
"Franklin County, Texas",""
"    Number",""
"        Estimate","3,546"
"    Percent Distribution",""
"        Estimate","3,546"
"    Median income (dollars)",""
"        Estimate","61,391"
"Freestone County, Texas",""
"    Number",""
"        Estimate","6,567"
"    Percent Distribution",""
"        Estimate","6,567"
"    Median income (dollars)",""
"        Estimate","55,910"
"Frio County, Texas",""
"    Number",""
"        Estimate","4,763"
"    Percent Distribution",""
"        Estimate","4,763"
"    Median income (dollars)",""
"        Estimate","58,456"
"Gaines County, Texas",""
"    Number",""
"        Estimate","6,775"
"    Percent Distribution",""
"        Estimate","6,775"
"    Median income (dollars)",""
"        Estimate","67,728"
"Galveston County, Texas",""
"    Number",""
"        Estimate","131,877"
"    Percent Distribution",""
"        Estimate","131,877"
"    Median income (dollars)",""
"        Estimate","79,328"
"Garza County, Texas",""
"    Number",""
"        Estimate","1,705"
"    Percent Distribution",""
"        Estimate","1,705"
"    Median income (dollars)",""
"        Estimate","64,871"
"Gillespie County, Texas",""
"    Number",""
"        Estimate","11,205"
"    Percent Distribution",""
"        Estimate","11,205"
"    Median income (dollars)",""
"        Estimate","64,438"
"Glasscock County, Texas",""
"    Number",""
"        Estimate","457"
"    Percent Distribution",""
"        Estimate","457"
"    Median income (dollars)",""
"        Estimate","85,417"
"Goliad County, Texas",""
"    Number",""
"        Estimate","2,671"
"    Percent Distribution",""
"        Estimate","2,671"
"    Median income (dollars)",""
"        Estimate","52,335"
"Gonzales County, Texas",""
"    Number",""
"        Estimate","7,496"
"    Percent Distribution",""
"        Estimate","7,496"
"    Median income (dollars)",""
"        Estimate","55,698"
"Gray County, Texas",""
"    Number",""
"        Estimate","7,881"
"    Percent Distribution",""
"        Estimate","7,881"
"    Median income (dollars)",""
"        Estimate","50,635"
"Grayson County, Texas",""
"    Number",""
"        Estimate","51,021"
"    Percent Distribution",""
"        Estimate","51,021"
"    Median income (dollars)",""
"        Estimate","62,078"
"Gregg County, Texas",""
"    Number",""
"        Estimate","46,654"
"    Percent Distribution",""
"        Estimate","46,654"
"    Median income (dollars)",""
"        Estimate","56,566"
"Grimes County, Texas",""
"    Number",""
"        Estimate","9,469"
"    Percent Distribution",""
"        Estimate","9,469"
"    Median income (dollars)",""
"        Estimate","59,086"
"Guadalupe County, Texas",""
"    Number",""
"        Estimate","58,439"
"    Percent Distribution",""
"        Estimate","58,439"
"    Median income (dollars)",""
"        Estimate","80,047"
"Hale County, Texas",""
"    Number",""
"        Estimate","11,070"
"    Percent Distribution",""
"        Estimate","11,070"
"    Median income (dollars)",""
"        Estimate","48,649"
"Hall County, Texas",""
"    Number",""
"        Estimate","1,132"
"    Percent Distribution",""
"        Estimate","1,132"
"    Median income (dollars)",""
"        Estimate","41,467"
"Hamilton County, Texas",""
"    Number",""
"        Estimate","2,910"
"    Percent Distribution",""
"        Estimate","2,910"
"    Median income (dollars)",""
"        Estimate","44,030"
"Hansford County, Texas",""
"    Number",""
"        Estimate","1,764"
"    Percent Distribution",""
"        Estimate","1,764"
"    Median income (dollars)",""
"        Estimate","47,500"
"Hardeman County, Texas",""
"    Number",""
"        Estimate","1,222"
"    Percent Distribution",""
"        Estimate","1,222"
"    Median income (dollars)",""
"        Estimate","56,400"
"Hardin County, Texas",""
"    Number",""
"        Estimate","20,568"
"    Percent Distribution",""
"        Estimate","20,568"
"    Median income (dollars)",""
"        Estimate","65,347"
"Harris County, Texas",""
"    Number",""
"        Estimate","1,658,503"
"    Percent Distribution",""
"        Estimate","1,658,503"
"    Median income (dollars)",""
"        Estimate","65,788"
"Harrison County, Texas",""
"    Number",""
"        Estimate","24,276"
"    Percent Distribution",""
"        Estimate","24,276"
"    Median income (dollars)",""
"        Estimate","57,996"
"Hartley County, Texas",""
"    Number",""
"        Estimate","1,704"
"    Percent Distribution",""
"        Estimate","1,704"
"    Median income (dollars)",""
"        Estimate","61,196"
"Haskell County, Texas",""
"    Number",""
"        Estimate","2,030"
"    Percent Distribution",""
"        Estimate","2,030"
"    Median income (dollars)",""
"        Estimate","48,432"
"Hays County, Texas",""
"    Number",""
"        Estimate","84,924"
"    Percent Distribution",""
"        Estimate","84,924"
"    Median income (dollars)",""
"        Estimate","71,061"
"Hemphill County, Texas",""
"    Number",""
"        Estimate","1,387"
"    Percent Distribution",""
"        Estimate","1,387"
"    Median income (dollars)",""
"        Estimate","54,867"
"Henderson County, Texas",""
"    Number",""
"        Estimate","31,267"
"    Percent Distribution",""
"        Estimate","31,267"
"    Median income (dollars)",""
"        Estimate","51,963"
"Hidalgo County, Texas",""
"    Number",""
"        Estimate","251,916"
"    Percent Distribution",""
"        Estimate","251,916"
"    Median income (dollars)",""
"        Estimate","44,666"
"Hill County, Texas",""
"    Number",""
"        Estimate","13,043"
"    Percent Distribution",""
"        Estimate","13,043"
"    Median income (dollars)",""
"        Estimate","57,800"
"Hockley County, Texas",""
"    Number",""
"        Estimate","7,935"
"    Percent Distribution",""
"        Estimate","7,935"
"    Median income (dollars)",""
"        Estimate","49,241"
"Hood County, Texas",""
"    Number",""
"        Estimate","24,195"
"    Percent Distribution",""
"        Estimate","24,195"
"    Median income (dollars)",""
"        Estimate","75,851"
"Hopkins County, Texas",""
"    Number",""
"        Estimate","13,746"
"    Percent Distribution",""
"        Estimate","13,746"
"    Median income (dollars)",""
"        Estimate","57,745"
"Houston County, Texas",""
"    Number",""
"        Estimate","7,353"
"    Percent Distribution",""
"        Estimate","7,353"
"    Median income (dollars)",""
"        Estimate","43,644"
"Howard County, Texas",""
"    Number",""
"        Estimate","12,062"
"    Percent Distribution",""
"        Estimate","12,062"
"    Median income (dollars)",""
"        Estimate","60,260"
"Hudspeth County, Texas",""
"    Number",""
"        Estimate","869"
"    Percent Distribution",""
"        Estimate","869"
"    Median income (dollars)",""
"        Estimate","32,404"
"Hunt County, Texas",""
"    Number",""
"        Estimate","35,756"
"    Percent Distribution",""
"        Estimate","35,756"
"    Median income (dollars)",""
"        Estimate","61,053"
"Hutchinson County, Texas",""
"    Number",""
"        Estimate","6,881"
"    Percent Distribution",""
"        Estimate","6,881"
"    Median income (dollars)",""
"        Estimate","57,288"
"Irion County, Texas",""
"    Number",""
"        Estimate","677"
"    Percent Distribution",""
"        Estimate","677"
"    Median income (dollars)",""
"        Estimate","39,770"
"Jack County, Texas",""
"    Number",""
"        Estimate","2,914"
"    Percent Distribution",""
"        Estimate","2,914"
"    Median income (dollars)",""
"        Estimate","56,916"
"Jackson County, Texas",""
"    Number",""
"        Estimate","5,155"
"    Percent Distribution",""
"        Estimate","5,155"
"    Median income (dollars)",""
"        Estimate","60,807"
"Jasper County, Texas",""
"    Number",""
"        Estimate","12,776"
"    Percent Distribution",""
"        Estimate","12,776"
"    Median income (dollars)",""
"        Estimate","44,356"
"Jeff Davis County, Texas",""
"    Number",""
"        Estimate","1,010"
"    Percent Distribution",""
"        Estimate","1,010"
"    Median income (dollars)",""
"        Estimate","38,659"
"Jefferson County, Texas",""
"    Number",""
"        Estimate","92,751"
"    Percent Distribution",""
"        Estimate","92,751"
"    Median income (dollars)",""
"        Estimate","53,613"
"Jim Hogg County, Texas",""
"    Number",""
"        Estimate","1,423"
"    Percent Distribution",""
"        Estimate","1,423"
"    Median income (dollars)",""
"        Estimate","37,342"
"Jim Wells County, Texas",""
"    Number",""
"        Estimate","12,835"
"    Percent Distribution",""
"        Estimate","12,835"
"    Median income (dollars)",""
"        Estimate","47,629"
"Johnson County, Texas",""
"    Number",""
"        Estimate","60,915"
"    Percent Distribution",""
"        Estimate","60,915"
"    Median income (dollars)",""
"        Estimate","70,767"
"Jones County, Texas",""
"    Number",""
"        Estimate","5,792"
"    Percent Distribution",""
"        Estimate","5,792"
"    Median income (dollars)",""
"        Estimate","55,575"
"Karnes County, Texas",""
"    Number",""
"        Estimate","4,431"
"    Percent Distribution",""
"        Estimate","4,431"
"    Median income (dollars)",""
"        Estimate","49,526"
"Kaufman County, Texas",""
"    Number",""
"        Estimate","46,189"
"    Percent Distribution",""
"        Estimate","46,189"
"    Median income (dollars)",""
"        Estimate","75,187"
"Kendall County, Texas",""
"    Number",""
"        Estimate","16,261"
"    Percent Distribution",""
"        Estimate","16,261"
"    Median income (dollars)",""
"        Estimate","100,706"
"Kenedy County, Texas",""
"    Number",""
"        Estimate","48"
"    Percent Distribution",""
"        Estimate","48"
"    Median income (dollars)",""
"        Estimate","42,778"
"Kent County, Texas",""
"    Number",""
"        Estimate","243"
"    Percent Distribution",""
"        Estimate","243"
"    Median income (dollars)",""
"        Estimate","63,994"
"Kerr County, Texas",""
"    Number",""
"        Estimate","21,842"
"    Percent Distribution",""
"        Estimate","21,842"
"    Median income (dollars)",""
"        Estimate","62,204"
"Kimble County, Texas",""
"    Number",""
"        Estimate","1,797"
"    Percent Distribution",""
"        Estimate","1,797"
"    Median income (dollars)",""
"        Estimate","55,677"
"King County, Texas",""
"    Number",""
"        Estimate","83"
"    Percent Distribution",""
"        Estimate","83"
"    Median income (dollars)",""
"        Estimate","42,125"
"Kinney County, Texas",""
"    Number",""
"        Estimate","1,039"
"    Percent Distribution",""
"        Estimate","1,039"
"    Median income (dollars)",""
"        Estimate","58,925"
"Kleberg County, Texas",""
"    Number",""
"        Estimate","11,559"
"    Percent Distribution",""
"        Estimate","11,559"
"    Median income (dollars)",""
"        Estimate","49,986"
"Knox County, Texas",""
"    Number",""
"        Estimate","1,251"
"    Percent Distribution",""
"        Estimate","1,251"
"    Median income (dollars)",""
"        Estimate","50,163"
"Lamar County, Texas",""
"    Number",""
"        Estimate","19,930"
"    Percent Distribution",""
"        Estimate","19,930"
"    Median income (dollars)",""
"        Estimate","51,561"
"Lamb County, Texas",""
"    Number",""
"        Estimate","4,604"
"    Percent Distribution",""
"        Estimate","4,604"
"    Median income (dollars)",""
"        Estimate","50,041"
"Lampasas County, Texas",""
"    Number",""
"        Estimate","7,928"
"    Percent Distribution",""
"        Estimate","7,928"
"    Median income (dollars)",""
"        Estimate","66,506"
"La Salle County, Texas",""
"    Number",""
"        Estimate","1,868"
"    Percent Distribution",""
"        Estimate","1,868"
"    Median income (dollars)",""
"        Estimate","61,042"
"Lavaca County, Texas",""
"    Number",""
"        Estimate","8,012"
"    Percent Distribution",""
"        Estimate","8,012"
"    Median income (dollars)",""
"        Estimate","57,602"
"Lee County, Texas",""
"    Number",""
"        Estimate","6,148"
"    Percent Distribution",""
"        Estimate","6,148"
"    Median income (dollars)",""
"        Estimate","60,750"
"Leon County, Texas",""
"    Number",""
"        Estimate","6,136"
"    Percent Distribution",""
"        Estimate","6,136"
"    Median income (dollars)",""
"        Estimate","48,676"
"Liberty County, Texas",""
"    Number",""
"        Estimate","27,688"
"    Percent Distribution",""
"        Estimate","27,688"
"    Median income (dollars)",""
"        Estimate","53,871"
"Limestone County, Texas",""
"    Number",""
"        Estimate","8,027"
"    Percent Distribution",""
"        Estimate","8,027"
"    Median income (dollars)",""
"        Estimate","49,507"
"Lipscomb County, Texas",""
"    Number",""
"        Estimate","1,144"
"    Percent Distribution",""
"        Estimate","1,144"
"    Median income (dollars)",""
"        Estimate","66,250"
"Live Oak County, Texas",""
"    Number",""
"        Estimate","3,857"
"    Percent Distribution",""
"        Estimate","3,857"
"    Median income (dollars)",""
"        Estimate","52,870"
"Llano County, Texas",""
"    Number",""
"        Estimate","9,220"
"    Percent Distribution",""
"        Estimate","9,220"
"    Median income (dollars)",""
"        Estimate","62,839"
"Loving County, Texas",""
"    Number",""
"        Estimate","33"
"    Percent Distribution",""
"        Estimate","33"
"    Median income (dollars)",""
"        Estimate","-"
"Lubbock County, Texas",""
"    Number",""
"        Estimate","118,704"
"    Percent Distribution",""
"        Estimate","118,704"
"    Median income (dollars)",""
"        Estimate","56,529"
"Lynn County, Texas",""
"    Number",""
"        Estimate","2,104"
"    Percent Distribution",""
"        Estimate","2,104"
"    Median income (dollars)",""
"        Estimate","49,747"
"McCulloch County, Texas",""
"    Number",""
"        Estimate","3,138"
"    Percent Distribution",""
"        Estimate","3,138"
"    Median income (dollars)",""
"        Estimate","46,552"
"McLennan County, Texas",""
"    Number",""
"        Estimate","94,194"
"    Percent Distribution",""
"        Estimate","94,194"
"    Median income (dollars)",""
"        Estimate","53,723"
"McMullen County, Texas",""
"    Number",""
"        Estimate","186"
"    Percent Distribution",""
"        Estimate","186"
"    Median income (dollars)",""
"        Estimate","63,056"
"Madison County, Texas",""
"    Number",""
"        Estimate","3,985"
"    Percent Distribution",""
"        Estimate","3,985"
"    Median income (dollars)",""
"        Estimate","59,923"
"Marion County, Texas",""
"    Number",""
"        Estimate","4,036"
"    Percent Distribution",""
"        Estimate","4,036"
"    Median income (dollars)",""
"        Estimate","43,153"
"Martin County, Texas",""
"    Number",""
"        Estimate","1,868"
"    Percent Distribution",""
"        Estimate","1,868"
"    Median income (dollars)",""
"        Estimate","69,194"
"Mason County, Texas",""
"    Number",""
"        Estimate","1,490"
"    Percent Distribution",""
"        Estimate","1,490"
"    Median income (dollars)",""
"        Estimate","73,186"
"Matagorda County, Texas",""
"    Number",""
"        Estimate","13,686"
"    Percent Distribution",""
"        Estimate","13,686"
"    Median income (dollars)",""
"        Estimate","48,566"
"Maverick County, Texas",""
"    Number",""
"        Estimate","17,690"
"    Percent Distribution",""
"        Estimate","17,690"
"    Median income (dollars)",""
"        Estimate","44,502"
"Medina County, Texas",""
"    Number",""
"        Estimate","16,765"
"    Percent Distribution",""
"        Estimate","16,765"
"    Median income (dollars)",""
"        Estimate","67,180"
"Menard County, Texas",""
"    Number",""
"        Estimate","904"
"    Percent Distribution",""
"        Estimate","904"
"    Median income (dollars)",""
"        Estimate","40,341"
"Midland County, Texas",""
"    Number",""
"        Estimate","63,506"
"    Percent Distribution",""
"        Estimate","63,506"
"    Median income (dollars)",""
"        Estimate","88,210"
"Milam County, Texas",""
"    Number",""
"        Estimate","9,740"
"    Percent Distribution",""
"        Estimate","9,740"
"    Median income (dollars)",""
"        Estimate","52,810"
"Mills County, Texas",""
"    Number",""
"        Estimate","1,695"
"    Percent Distribution",""
"        Estimate","1,695"
"    Median income (dollars)",""
"        Estimate","53,483"
"Mitchell County, Texas",""
"    Number",""
"        Estimate","2,258"
"    Percent Distribution",""
"        Estimate","2,258"
"    Median income (dollars)",""
"        Estimate","50,144"
"Montague County, Texas",""
"    Number",""
"        Estimate","7,835"
"    Percent Distribution",""
"        Estimate","7,835"
"    Median income (dollars)",""
"        Estimate","59,127"
"Montgomery County, Texas",""
"    Number",""
"        Estimate","214,328"
"    Percent Distribution",""
"        Estimate","214,328"
"    Median income (dollars)",""
"        Estimate","88,597"
"Moore County, Texas",""
"    Number",""
"        Estimate","6,893"
"    Percent Distribution",""
"        Estimate","6,893"
"    Median income (dollars)",""
"        Estimate","55,543"
"Morris County, Texas",""
"    Number",""
"        Estimate","4,784"
"    Percent Distribution",""
"        Estimate","4,784"
"    Median income (dollars)",""
"        Estimate","46,468"
"Motley County, Texas",""
