"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Anderson County, Texas",""
"    Number",""
"        Estimate","16,477"
"    Percent Distribution",""
"        Estimate","16,477"
"    Median income (dollars)",""
"        Estimate","49,736"
"Andrews County, Texas",""
"    Number",""
"        Estimate","6,263"
"    Percent Distribution",""
"        Estimate","6,263"
"    Median income (dollars)",""
"        Estimate","80,518"
"Angelina County, Texas",""
"    Number",""
"        Estimate","31,151"
"    Percent Distribution",""
"        Estimate","31,151"
"    Median income (dollars)",""
"        Estimate","52,377"
"Aransas County, Texas",""
"    Number",""
"        Estimate","10,452"
"    Percent Distribution",""
"        Estimate","10,452"
"    Median income (dollars)",""
"        Estimate","51,509"
"Archer County, Texas",""
"    Number",""
"        Estimate","3,371"
"    Percent Distribution",""
"        Estimate","3,371"
"    Median income (dollars)",""
"        Estimate","67,083"
"Armstrong County, Texas",""
"    Number",""
"        Estimate","708"
"    Percent Distribution",""
"        Estimate","708"
"    Median income (dollars)",""
"        Estimate","71,136"
"Atascosa County, Texas",""
"    Number",""
"        Estimate","15,899"
"    Percent Distribution",""
"        Estimate","15,899"
"    Median income (dollars)",""
"        Estimate","63,391"
"Austin County, Texas",""
"    Number",""
"        Estimate","11,841"
"    Percent Distribution",""
"        Estimate","11,841"
"    Median income (dollars)",""
"        Estimate","68,400"
"Bailey County, Texas",""
"    Number",""
"        Estimate","1,952"
"    Percent Distribution",""
"        Estimate","1,952"
"    Median income (dollars)",""
"        Estimate","64,044"
"Bandera County, Texas",""
"    Number",""
"        Estimate","8,383"
"    Percent Distribution",""
"        Estimate","8,383"
"    Median income (dollars)",""
"        Estimate","64,495"
"Bastrop County, Texas",""
"    Number",""
"        Estimate","31,271"
"    Percent Distribution",""
"        Estimate","31,271"
"    Median income (dollars)",""
"        Estimate","78,339"
"Baylor County, Texas",""
"    Number",""
"        Estimate","1,509"
"    Percent Distribution",""
"        Estimate","1,509"
"    Median income (dollars)",""
"        Estimate","43,705"
"Bee County, Texas",""
"    Number",""
"        Estimate","8,497"
"    Percent Distribution",""
"        Estimate","8,497"
"    Median income (dollars)",""
"        Estimate","48,822"
"Bell County, Texas",""
"    Number",""
"        Estimate","130,523"
"    Percent Distribution",""
"        Estimate","130,523"
"    Median income (dollars)",""
"        Estimate","57,932"
"Bexar County, Texas",""
"    Number",""
"        Estimate","717,124"
"    Percent Distribution",""
"        Estimate","717,124"
"    Median income (dollars)",""
"        Estimate","62,169"
"Blanco County, Texas",""
"    Number",""
"        Estimate","4,749"
"    Percent Distribution",""
"        Estimate","4,749"
"    Median income (dollars)",""
"        Estimate","71,201"
"Borden County, Texas",""
"    Number",""
"        Estimate","196"
"    Percent Distribution",""
"        Estimate","196"
"    Median income (dollars)",""
"        Estimate","68,500"
"Bosque County, Texas",""
"    Number",""
"        Estimate","7,037"
"    Percent Distribution",""
"        Estimate","7,037"
"    Median income (dollars)",""
"        Estimate","59,328"
"Bowie County, Texas",""
"    Number",""
"        Estimate","33,983"
"    Percent Distribution",""
"        Estimate","33,983"
"    Median income (dollars)",""
"        Estimate","54,949"
