year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Connecticut,2000,2800,43200,0,160800,3200,0,0,0,2690900,59700,30200
2017,Connecticut,3000,3900,45200,0,179800,2900,0,0,0,2715700,57200,29600
2018,Connecticut,5000,5200,45100,0,188100,2500,0,0,0,2643300,54000,28200
2019,Connecticut,6900,5700,47400,0,196800,2300,0,0,0,2632800,53100,27700
2020,Connecticut,9000,6200,49600,0,199300,2000,0,0,0,2577600,53000,26100
2021,Connecticut,13300,9200,55400,8800,140700,400,0,0,0,2578400,44300,21500
2022,Connecticut,22000,13100,64500,10100,139800,200,0,0,0,2636300,44100,21200
