year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Wyoming,100,100,3800,0,64100,4800,0,0,0,448600,69900,23700
2017,Wyoming,100,100,4000,0,68700,4500,0,0,0,448600,71200,21700
2018,Wyoming,200,200,4100,0,71500,4200,0,0,0,450100,72900,20400
2019,Wyoming,200,200,4200,0,75100,3800,0,0,0,452800,75400,19100
2020,Wyoming,300,300,4700,0,77100,3600,0,0,0,456200,77400,18700
2021,Wyoming,500,400,5700,17100,59400,100,0,0,0,482400,62100,15600
2022,Wyoming,800,600,6900,19100,58600,0,0,0,0,483000,61200,14200
