year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Arkansas,200,500,19100,0,320500,12600,0,0,0,2097800,96800,22200
2017,Arkansas,300,600,20000,0,352700,10800,0,0,0,2097400,100100,19800
2018,Arkansas,600,800,20300,0,370600,9200,0,0,0,2070200,101700,18100
2019,Arkansas,900,1000,21100,0,383000,8000,0,0,0,2059000,105200,16700
2020,Arkansas,1300,1100,22400,0,392800,7200,0,0,0,2093700,111100,15700
2021,Arkansas,2400,1800,26100,28700,290200,300,0,0,0,2241600,88800,11000
2022,Arkansas,5100,2500,30600,33300,283900,200,0,0,0,2229500,89700,10600
