year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Montana,200,200,9800,0,111700,5400,0,0,0,750600,87600,22600
2017,Montana,300,300,10000,0,118100,4900,0,0,0,737900,89000,19700
2018,Montana,500,400,10000,0,123700,4400,0,0,0,729000,89600,18400
2019,Montana,700,500,10500,0,129000,3900,0,0,0,717800,90900,16800
2020,Montana,900,600,11200,0,130600,3600,0,0,0,714000,93100,16400
2021,Montana,1600,1100,13900,27500,100500,100,0,0,0,761800,70900,12200
2022,Montana,3300,1700,17100,33200,98000,0,0,0,0,765400,69900,11000
