year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Colorado,5300,3800,74000,0,355500,15900,0,0,0,4180500,226800,89900
2017,Colorado,8000,5200,79800,0,395500,14800,0,0,0,4256700,232400,83100
2018,Colorado,12500,7400,84700,0,420500,13500,0,0,0,4278900,236200,78200
2019,Colorado,19200,9300,92400,0,447700,12600,0,0,0,4347900,246700,73600
2020,Colorado,24700,10800,96500,0,447000,11400,0,0,0,4263300,249700,89600
2021,Colorado,37000,16100,113600,53800,346700,600,100,0,0,4456600,208400,53500
2022,Colorado,59900,24000,131800,62100,346400,300,100,0,0,4506300,206800,49400
