year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Virginia,3100,4200,126700,0,463300,17900,0,0,0,6554200,168900,64900
2017,Virginia,5100,6100,136800,0,534100,16500,0,0,0,6707400,173300,60100
2018,Virginia,9900,8100,141300,0,569100,15100,0,0,0,6721800,173400,55800
2019,Virginia,15000,9800,151000,0,603200,13600,0,0,0,6750300,178400,52200
2020,Virginia,20500,11200,157800,0,618500,12200,0,0,0,6646500,183700,46800
2021,Virginia,30700,15800,176500,35300,506600,600,100,0,0,6661000,154300,32700
2022,Virginia,56600,21700,198400,40000,496200,300,0,0,0,6643300,153700,31900
