year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Idaho,400,600,16300,0,107100,12800,0,0,0,1354300,123000,56200
2017,Idaho,700,800,17700,0,123600,12000,0,0,0,1387400,130600,34500
2018,Idaho,1100,1100,19600,0,136900,11200,0,0,0,1426000,138400,26300
2019,Idaho,1600,1500,21900,0,148600,10500,0,0,0,1453500,147200,25500
2020,Idaho,2300,1700,24900,0,156300,9900,0,0,0,1480700,155700,26900
2021,Idaho,3500,2500,30400,33400,132500,300,100,0,0,1545500,133500,29400
2022,Idaho,5900,3500,36500,40300,133300,100,100,0,0,1545500,136000,33000
