year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Kentucky,500,900,30900,0,336000,15600,0,0,0,3285300,115200,47500
2017,Kentucky,700,1200,33900,0,381500,14500,0,0,0,3319800,120300,44300
2018,Kentucky,1200,1500,35800,0,414300,13200,0,0,0,3308700,123600,41100
2019,Kentucky,1900,1800,38000,0,442000,12000,0,0,0,3309900,129100,38900
2020,Kentucky,2600,2100,41300,0,458800,10900,0,0,0,3281300,133700,36500
2021,Kentucky,4200,3100,48300,27100,365800,600,0,0,0,3422900,116200,28300
2022,Kentucky,7600,4400,55800,32300,363800,300,0,0,0,3368800,115800,25800
