year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Illinois,5800,6000,146500,0,968600,18500,0,0,0,8748600,200900,94500
2017,Illinois,8300,7700,155800,0,1056300,16400,0,0,0,8689700,200300,89700
2018,Illinois,13600,9900,163800,0,1110700,14800,0,0,0,8631200,200800,89600
2019,Illinois,19300,11600,177300,0,1153600,13400,0,0,0,8665900,209000,98000
2020,Illinois,26000,13000,190600,0,1154700,12100,0,0,0,8533600,213600,90600
2021,Illinois,36500,18300,214300,48100,822300,800,100,0,0,8657800,169900,59600
2022,Illinois,66900,25700,244100,55400,807900,300,0,0,0,8606400,171300,59500
