year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Delaware,300,700,11200,0,68300,1400,0,0,0,749800,17000,7200
2017,Delaware,400,900,11900,0,74900,1300,0,0,0,754200,16900,7000
2018,Delaware,800,1200,12300,0,80700,1200,0,0,0,758500,17000,6900
2019,Delaware,1300,1300,13200,0,85500,1000,0,0,0,768600,17200,6800
2020,Delaware,1900,1500,14800,0,89700,1000,0,0,0,780600,17900,6600
2021,Delaware,3000,2000,16700,4100,67400,100,0,0,0,796400,14600,5300
2022,Delaware,5400,2800,19500,4700,66200,0,0,0,0,795400,14500,5100
