year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Alaska,200,200,5000,0,55700,4900,0,0,0,525900,44800,19400
2017,Alaska,400,300,5200,0,59400,4400,0,0,0,506800,43200,16400
2018,Alaska,500,300,5400,0,62000,3700,0,0,0,484900,41000,16100
2019,Alaska,700,400,5800,0,64000,3200,0,0,0,473700,40100,14600
2020,Alaska,900,400,6200,0,64000,2700,0,0,0,460900,39600,11400
2021,Alaska,1300,500,7300,7600,50100,100,0,0,0,464200,31700,6300
2022,Alaska,2000,700,9000,8700,48600,0,0,0,0,457100,30500,5500
