year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,New Mexico,500,600,20800,0,142300,7800,0,0,0,1375900,88400,37200
2017,New Mexico,700,1000,23600,0,173100,7600,0,0,0,1474900,97600,35600
2018,New Mexico,1300,1300,25000,0,183700,6900,0,0,0,1478700,100000,33500
2019,New Mexico,1900,1600,26800,0,194100,6400,0,0,0,1490400,104300,31600
2020,New Mexico,2600,1900,28500,0,197900,6000,0,0,0,1490700,108100,30300
2021,New Mexico,4200,2800,32800,25200,156900,200,100,0,0,1569000,87600,24500
2022,New Mexico,7100,3900,37600,28600,155900,100,100,0,0,1584500,88000,23600
