year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,California,141500,116700,966700,0,1322600,80600,0,1300,400,27241000,710400,115500
2017,California,189700,159600,1039300,0,1495800,79300,0,3200,400,28171500,738600,122200
2018,California,273500,215000,1085300,0,1615200,77700,0,9400,300,28646700,761600,129800
2019,California,349700,247300,1154200,0,1698700,76200,0,12700,300,29210100,785800,136900
2020,California,425300,265500,1228700,0,1745100,75300,0,14000,300,29642700,825900,116700
2021,California,563100,315300,1355900,163600,1343200,12600,1500,11800,0,30512600,710500,10400
2022,California,903600,361100,1514000,183900,1338000,10300,1500,14900,0,31059000,725300,8200
