year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,North Carolina,2900,3600,107400,0,642800,26100,0,0,0,7095700,218900,108900
2017,North Carolina,4400,4800,114300,0,727600,24100,0,0,0,7161700,225500,103900
2018,North Carolina,7300,6500,119400,0,791100,22300,0,0,0,7205800,229300,99200
2019,North Carolina,11600,8100,126600,0,846400,20600,0,0,0,7311100,242600,96300
2020,North Carolina,16200,9300,133400,0,878800,19700,0,0,0,7376600,256300,93400
2021,North Carolina,25200,13500,151600,61000,687700,800,200,0,0,7685800,210000,77000
2022,North Carolina,45600,18800,175300,71300,675300,300,100,0,0,7700300,209600,73700
