year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Vermont,300,1200,11600,0,49300,800,0,0,0,521600,20200,8400
2017,Vermont,700,1600,12200,0,54600,700,0,0,0,518700,19600,8000
2018,Vermont,1100,2000,12600,0,57500,600,0,0,0,513600,19100,7700
2019,Vermont,1700,2000,13300,0,59100,600,0,0,0,509000,19400,7400
2020,Vermont,2200,2300,13900,0,58800,500,0,0,0,501000,19700,6800
2021,Vermont,3400,3200,15800,5600,42000,100,0,0,0,511900,15000,5400
2022,Vermont,5300,4200,17800,6400,40000,0,0,0,0,501500,14700,5100
