year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Arizona,4700,4400,89600,0,427300,17500,0,0,100,4805000,179500,112800
2017,Arizona,7200,5800,96000,0,484600,16600,0,0,100,4940200,187500,108300
2018,Arizona,12600,7700,102000,0,533600,15500,0,0,0,5061900,196300,103700
2019,Arizona,19500,9600,108100,0,571500,14300,0,0,0,5186900,208800,99000
2020,Arizona,28800,11200,115400,0,584800,13800,0,0,0,5202200,226000,103400
2021,Arizona,40700,15500,132200,51000,460400,900,900,0,0,5395300,191800,70500
2022,Arizona,65800,20400,150800,61200,446000,600,800,0,0,5476100,198700,70100
