year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Wisconsin,2600,2600,61700,0,579200,14400,0,0,0,4500500,154400,52900
2017,Wisconsin,2800,3500,67100,0,648900,13000,0,0,0,4530600,159100,49500
2018,Wisconsin,3700,4500,70900,0,696300,11400,0,0,0,4515800,162500,47100
2019,Wisconsin,4700,5300,76200,0,733700,10100,0,0,0,4519800,168800,45300
2020,Wisconsin,6300,5900,82500,0,755700,8700,0,0,0,4494600,175200,41900
2021,Wisconsin,9300,7700,93500,39800,556500,700,100,0,0,4639100,143300,29900
2022,Wisconsin,15700,10000,105200,46500,549700,300,0,0,0,4577400,144500,26900
