year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,District of Columbia,600,500,11800,0,17600,300,0,0,0,277800,3200,1300
2017,District of Columbia,800,700,13600,0,23000,300,0,0,0,287400,3000,1200
2018,District of Columbia,1100,1000,13900,0,23500,200,0,0,0,291000,2600,1100
2019,District of Columbia,1800,1300,13700,0,22500,200,0,0,0,286300,2400,1100
2020,District of Columbia,2400,1600,14300,0,21900,200,0,0,0,274400,2300,1200
2021,District of Columbia,3700,2500,16100,300,17400,100,0,0,0,278900,2100,600
2022,District of Columbia,5900,3200,17200,400,17800,100,0,0,0,272200,2000,600
