year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Texas,11900,8000,205800,0,2596600,64700,0,0,0,18245400,961200,213100
2017,Texas,16100,10900,217100,0,2813400,56900,0,0,0,18252800,982900,194300
2018,Texas,24500,14700,227700,0,3005900,51300,0,0,0,18453800,1019300,175300
2019,Texas,38400,18100,244600,0,3200700,47300,0,100,0,19293900,1070200,178000
2020,Texas,52200,20400,262300,0,3250000,43600,0,100,0,19609700,1107000,163600
2021,Texas,80900,30600,304700,376300,2422300,2200,1600,0,0,20599100,765100,131100
2022,Texas,149000,42800,361800,420800,2398800,1400,1400,0,0,21065800,771000,133200
