year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Tennessee,2600,1700,48400,0,442400,21300,0,0,0,4772600,137900,59800
2017,Tennessee,2900,2100,53400,0,500300,19900,0,0,0,4834800,144000,55200
2018,Tennessee,3900,2900,59200,0,567600,19100,0,0,0,5059400,164100,55600
2019,Tennessee,5700,3600,64300,0,611900,17400,0,0,0,5160900,172700,53000
2020,Tennessee,7800,4300,68700,0,638600,16500,0,0,0,5218400,181600,50900
2021,Tennessee,12200,6300,79800,38400,511000,500,100,0,0,5396100,150200,39600
2022,Tennessee,22000,8900,94000,45700,519400,100,100,0,0,5536100,157700,38600
