year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Missouri,1400,2100,63800,0,589600,21800,0,0,0,4597300,194200,71300
2017,Missouri,2100,3300,88800,0,709800,19800,0,0,0,4645900,206100,64900
2018,Missouri,3500,4200,98600,0,744500,17800,0,0,0,4638300,212900,60600
2019,Missouri,4900,5000,86200,0,764500,15900,0,0,0,4591200,219600,55900
2020,Missouri,6700,5300,77600,0,744100,14000,0,0,0,4442300,212200,52100
2021,Missouri,10000,7200,85600,55800,602500,1800,100,0,0,4582100,172100,40700
2022,Missouri,17900,10400,95100,61300,576700,1200,100,0,0,4444600,176200,38900
