year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Kansas,600,1000,26200,0,250600,14200,0,0,0,2095000,90000,42400
2017,Kansas,1000,1300,28200,0,277900,13200,0,0,0,2099900,92600,35900
2018,Kansas,1700,1800,29600,0,295700,12100,0,0,0,2087000,94500,32400
2019,Kansas,2300,2100,31700,0,313500,11300,0,0,0,2094100,98800,29500
2020,Kansas,3100,2400,34000,0,324700,10600,0,0,0,2086800,102900,27700
2021,Kansas,4500,3300,38300,21400,260900,400,100,0,0,2158100,85900,19900
2022,Kansas,7600,4300,43500,25000,260100,200,100,0,0,2159200,87000,17600
