year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Oregon,7700,4300,83300,0,168600,15500,0,0,0,3077900,220300,100900
2017,Oregon,10000,6000,90900,0,192900,14500,0,0,0,3130800,229000,91400
2018,Oregon,13800,8400,96300,0,210600,13500,0,0,0,3177400,238000,85700
2019,Oregon,18800,10400,102000,0,222400,12100,0,0,0,3125800,243500,80100
2020,Oregon,22800,11800,106100,0,222000,10900,0,0,0,2990200,246200,82600
2021,Oregon,30300,16900,123200,43900,193700,300,100,0,0,3094700,217800,63900
2022,Oregon,47000,22500,138900,50200,186300,100,100,0,0,3065400,216100,53200
