year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Utah,2500,1700,32700,0,172900,10800,0,0,0,2072100,150800,38700
2017,Utah,3600,2500,36700,0,192600,10100,0,0,0,2136000,161000,36200
2018,Utah,5600,3400,40900,0,214100,9700,0,0,0,2221100,173700,36600
2019,Utah,8000,4400,45300,0,230100,9200,0,0,0,2291100,183300,36300
2020,Utah,11200,5200,49800,0,231700,8700,0,0,0,2346000,191400,35700
2021,Utah,16500,7500,58500,51600,190200,2600,700,0,0,2428900,153800,27400
2022,Utah,28000,10200,69300,61500,189900,2300,600,0,0,2454700,155000,26000
