year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Minnesota,1600,2400,58900,0,549600,13600,0,0,0,3981400,135100,51900
2017,Minnesota,2300,3100,63300,0,595100,12100,0,0,0,3960100,137200,47100
2018,Minnesota,4900,4800,71000,0,660700,10700,0,0,0,4078700,138800,42600
2019,Minnesota,7700,5800,77400,0,704600,10100,0,0,0,4174400,155100,43800
2020,Minnesota,10400,6700,83800,0,722800,9100,0,0,0,4162400,161700,43000
2021,Minnesota,15000,8900,95200,40100,548700,300,0,0,0,4342800,128700,29800
2022,Minnesota,24300,11900,105300,46900,531500,100,0,0,0,4180500,127300,25600
