year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Maryland,3200,5000,85900,0,327800,6100,0,0,0,4039100,105200,44500
2017,Maryland,4400,6500,91200,0,369400,5500,0,0,0,4056000,105500,42100
2018,Maryland,8400,8400,95300,0,389100,4900,0,0,0,4075000,104600,40700
2019,Maryland,13200,10000,100700,0,400600,4400,0,0,0,4068900,107000,39400
2020,Maryland,18000,11900,109700,0,406600,4100,0,0,0,4136000,111700,37900
2021,Maryland,25600,17200,130900,27700,347200,400,0,0,0,4380600,89500,32100
2022,Maryland,46100,22900,146200,30300,326900,300,0,0,0,4373900,88400,31800
