year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,West Virginia,100,300,9200,0,150300,4400,0,0,0,1286500,52000,21600
2017,West Virginia,100,400,9700,0,164700,4000,0,0,0,1278100,53800,18400
2018,West Virginia,200,500,10100,0,172900,3500,0,0,0,1256800,54700,16500
2019,West Virginia,400,600,10900,0,177300,3100,0,0,0,1234300,56300,15400
2020,West Virginia,600,700,11900,0,178200,2800,0,0,0,1216500,57800,14200
2021,West Virginia,1000,1000,14500,13900,129800,200,0,0,0,1268300,46100,10900
2022,West Virginia,1900,1400,18300,15600,127500,100,0,0,0,1267500,45700,10900
