year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Nevada,2000,1400,30700,0,138800,7100,0,0,0,1923600,83000,36000
2017,Nevada,3100,2000,34400,0,157000,6600,0,0,0,1965700,86900,33800
2018,Nevada,5100,2900,37300,0,171800,6200,0,0,0,2005700,90600,32800
2019,Nevada,7900,3600,40100,0,181300,5700,0,0,0,2037600,95500,32000
2020,Nevada,11000,4200,42900,0,183700,5100,0,0,0,2036400,99100,28900
2021,Nevada,17400,6300,50200,21300,133600,300,100,0,0,2140700,84700,22800
2022,Nevada,32900,8800,59100,24700,130700,200,100,0,0,2157700,85200,21300
