year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Mississippi,100,200,11800,0,279600,9500,0,0,0,2106700,78300,16300
2017,Mississippi,200,300,12800,0,319400,7700,0,0,0,2136700,83400,15100
2018,Mississippi,300,500,13600,0,342300,6300,0,0,0,2125900,89700,15000
2019,Mississippi,500,600,14400,0,366500,5600,0,0,0,2166800,95100,14800
2020,Mississippi,800,700,15800,0,381000,5000,0,0,0,2197800,99600,13800
2021,Mississippi,1300,1100,18700,27400,305000,200,0,0,0,2289900,76000,9600
2022,Mississippi,2400,1600,22300,31600,302000,100,0,0,0,2275400,75400,9100
