year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,South Dakota,100,200,5300,0,113100,5700,0,0,0,667200,56200,24200
2017,South Dakota,100,200,5900,0,125700,5300,0,0,0,681900,59700,22600
2018,South Dakota,200,300,6300,0,135300,5000,0,0,0,689100,62000,21600
2019,South Dakota,300,400,6600,0,137000,4500,0,0,0,683200,63200,20000
2020,South Dakota,400,500,7200,0,139400,4100,0,0,0,688400,65500,19500
2021,South Dakota,700,700,8700,16900,105000,100,0,0,0,726200,51100,15700
2022,South Dakota,1200,1000,10300,20000,105700,0,0,0,0,739400,53000,14500
