year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,New York,6100,12100,166500,0,895500,10200,0,0,0,10013300,191300,112600
2017,New York,9400,17100,171000,0,960800,8700,0,0,0,9995700,186700,108400
2018,New York,15500,24300,173200,0,1003900,7800,0,0,0,9967300,184600,107000
2019,New York,23000,28000,182800,0,1027800,7000,0,0,0,9935300,186100,107200
2020,New York,32600,32600,192700,0,1020500,6200,0,0,0,9890800,189900,102600
2021,New York,51900,44600,221600,43000,663700,900,100,0,0,10116400,152400,83200
2022,New York,84700,59800,259600,48400,633100,400,100,0,0,9987400,152000,80800
