year,state,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown
2016,Iowa,400,1200,26900,0,367400,13400,0,0,0,2418600,107600,80600
2017,Iowa,600,1500,29000,0,405200,12300,0,0,0,2413800,112500,75400
2018,Iowa,1100,2000,30700,0,430600,11200,0,0,0,2397500,115300,72800
2019,Iowa,1600,2400,33100,0,448900,10200,0,0,0,2397900,120300,71000
2020,Iowa,2300,2600,36400,0,459900,9500,0,0,0,2402200,125300,69100
2021,Iowa,3700,3600,42500,31100,343600,300,0,0,0,2525400,100900,59600
2022,Iowa,6200,4900,48600,37000,338900,100,0,0,0,2521300,103000,58200
