"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Median income (dollars)",""
"        Estimate","54,514"
"Franklin County, Florida",""
"    Number",""
"        Estimate","4,444"
"    Percent Distribution",""
"        Estimate","4,444"
"    Median income (dollars)",""
"        Estimate","46,643"
"Gadsden County, Florida",""
"    Number",""
"        Estimate","17,149"
"    Percent Distribution",""
"        Estimate","17,149"
"    Median income (dollars)",""
"        Estimate","41,401"
"Gilchrist County, Florida",""
"    Number",""
"        Estimate","6,464"
"    Percent Distribution",""
"        Estimate","6,464"
"    Median income (dollars)",""
"        Estimate","43,640"
"Glades County, Florida",""
"    Number",""
"        Estimate","4,700"
"    Percent Distribution",""
"        Estimate","4,700"
"    Median income (dollars)",""
"        Estimate","40,977"
"Gulf County, Florida",""
"    Number",""
"        Estimate","5,757"
"    Percent Distribution",""
"        Estimate","5,757"
"    Median income (dollars)",""
"        Estimate","47,712"
"Hamilton County, Florida",""
"    Number",""
"        Estimate","4,381"
"    Percent Distribution",""
"        Estimate","4,381"
"    Median income (dollars)",""
"        Estimate","38,569"
"Hardee County, Florida",""
"    Number",""
"        Estimate","7,863"
"    Percent Distribution",""
"        Estimate","7,863"
"    Median income (dollars)",""
"        Estimate","38,682"
"Hendry County, Florida",""
"    Number",""
"        Estimate","12,527"
"    Percent Distribution",""
"        Estimate","12,527"
"    Median income (dollars)",""
"        Estimate","40,820"
"Hernando County, Florida",""
"    Number",""
"        Estimate","75,348"
"    Percent Distribution",""
"        Estimate","75,348"
"    Median income (dollars)",""
"        Estimate","48,812"
"Highlands County, Florida",""
"    Number",""
"        Estimate","41,740"
"    Percent Distribution",""
"        Estimate","41,740"
"    Median income (dollars)",""
"        Estimate","40,942"
"Hillsborough County, Florida",""
"    Number",""
"        Estimate","526,175"
"    Percent Distribution",""
"        Estimate","526,175"
"    Median income (dollars)",""
"        Estimate","58,884"
"Holmes County, Florida",""
"    Number",""
"        Estimate","7,092"
"    Percent Distribution",""
"        Estimate","7,092"
"    Median income (dollars)",""
"        Estimate","39,102"
"Indian River County, Florida",""
"    Number",""
"        Estimate","58,612"
"    Percent Distribution",""
"        Estimate","58,612"
"    Median income (dollars)",""
"        Estimate","54,740"
"Jackson County, Florida",""
"    Number",""
"        Estimate","17,149"
"    Percent Distribution",""
"        Estimate","17,149"
"    Median income (dollars)",""
"        Estimate","39,872"
"Jefferson County, Florida",""
"    Number",""
"        Estimate","5,770"
"    Percent Distribution",""
"        Estimate","5,770"
"    Median income (dollars)",""
"        Estimate","47,240"
"Lafayette County, Florida",""
"    Number",""
"        Estimate","2,175"
"    Percent Distribution",""
"        Estimate","2,175"
"    Median income (dollars)",""
"        Estimate","50,165"
"Lake County, Florida",""
"    Number",""
"        Estimate","134,317"
"    Percent Distribution",""
"        Estimate","134,317"
"    Median income (dollars)",""
"        Estimate","54,513"
"Lee County, Florida",""
"    Number",""
"        Estimate","275,965"
"    Percent Distribution",""
"        Estimate","275,965"
"    Median income (dollars)",""
"        Estimate","57,832"
"Leon County, Florida",""
"    Number",""
"        Estimate","113,658"
"    Percent Distribution",""
"        Estimate","113,658"
"    Median income (dollars)",""
"        Estimate","53,106"
"Levy County, Florida",""
"    Number",""
"        Estimate","16,374"
"    Percent Distribution",""
"        Estimate","16,374"
"    Median income (dollars)",""
"        Estimate","37,326"
"Liberty County, Florida",""
"    Number",""
"        Estimate","2,459"
"    Percent Distribution",""
"        Estimate","2,459"
"    Median income (dollars)",""
"        Estimate","38,015"
"Madison County, Florida",""
"    Number",""
"        Estimate","6,778"
"    Percent Distribution",""
"        Estimate","6,778"
"    Median income (dollars)",""
"        Estimate","37,037"
"Manatee County, Florida",""
"    Number",""
"        Estimate","145,356"
"    Percent Distribution",""
"        Estimate","145,356"
"    Median income (dollars)",""
"        Estimate","59,009"
"Marion County, Florida",""
"    Number",""
"        Estimate","139,172"
"    Percent Distribution",""
"        Estimate","139,172"
"    Median income (dollars)",""
"        Estimate","45,371"
"Martin County, Florida",""
"    Number",""
"        Estimate","64,528"
"    Percent Distribution",""
"        Estimate","64,528"
"    Median income (dollars)",""
"        Estimate","61,133"
"Miami-Dade County, Florida",""
"    Number",""
"        Estimate","883,372"
"    Percent Distribution",""
"        Estimate","883,372"
"    Median income (dollars)",""
"        Estimate","51,347"
"Monroe County, Florida",""
"    Number",""
"        Estimate","32,068"
"    Percent Distribution",""
"        Estimate","32,068"
"    Median income (dollars)",""
"        Estimate","70,033"
"Nassau County, Florida",""
"    Number",""
"        Estimate","32,603"
"    Percent Distribution",""
"        Estimate","32,603"
"    Median income (dollars)",""
"        Estimate","69,943"
"Okaloosa County, Florida",""
"    Number",""
"        Estimate","77,962"
"    Percent Distribution",""
"        Estimate","77,962"
"    Median income (dollars)",""
"        Estimate","63,412"
"Okeechobee County, Florida",""
"    Number",""
"        Estimate","13,904"
"    Percent Distribution",""
"        Estimate","13,904"
"    Median income (dollars)",""
"        Estimate","41,760"
"Orange County, Florida",""
"    Number",""
"        Estimate","461,705"
"    Percent Distribution",""
"        Estimate","461,705"
"    Median income (dollars)",""
"        Estimate","58,254"
"Osceola County, Florida",""
"    Number",""
"        Estimate","103,141"
"    Percent Distribution",""
"        Estimate","103,141"
"    Median income (dollars)",""
"        Estimate","52,279"
"Palm Beach County, Florida",""
"    Number",""
"        Estimate","554,095"
"    Percent Distribution",""
"        Estimate","554,095"
"    Median income (dollars)",""
"        Estimate","63,299"
"Pasco County, Florida",""
"    Number",""
"        Estimate","204,198"
"    Percent Distribution",""
"        Estimate","204,198"
"    Median income (dollars)",""
"        Estimate","52,828"
"Pinellas County, Florida",""
"    Number",""
"        Estimate","407,546"
"    Percent Distribution",""
"        Estimate","407,546"
"    Median income (dollars)",""
"        Estimate","54,090"
"Polk County, Florida",""
"    Number",""
"        Estimate","235,283"
"    Percent Distribution",""
"        Estimate","235,283"
"    Median income (dollars)",""
"        Estimate","50,584"
"Putnam County, Florida",""
"    Number",""
"        Estimate","28,943"
"    Percent Distribution",""
"        Estimate","28,943"
"    Median income (dollars)",""
"        Estimate","37,670"
"St. Johns County, Florida",""
"    Number",""
"        Estimate","88,773"
"    Percent Distribution",""
"        Estimate","88,773"
"    Median income (dollars)",""
"        Estimate","82,252"
"St. Lucie County, Florida",""
"    Number",""
"        Estimate","114,761"
"    Percent Distribution",""
"        Estimate","114,761"
"    Median income (dollars)",""
"        Estimate","52,322"
"Santa Rosa County, Florida",""
"    Number",""
"        Estimate","63,514"
"    Percent Distribution",""
"        Estimate","63,514"
"    Median income (dollars)",""
"        Estimate","67,949"
"Sarasota County, Florida",""
"    Number",""
"        Estimate","182,842"
"    Percent Distribution",""
"        Estimate","182,842"
"    Median income (dollars)",""
"        Estimate","62,236"
"Seminole County, Florida",""
"    Number",""
"        Estimate","173,668"
"    Percent Distribution",""
"        Estimate","173,668"
"    Median income (dollars)",""
"        Estimate","66,768"
"Sumter County, Florida",""
"    Number",""
"        Estimate","56,230"
"    Percent Distribution",""
"        Estimate","56,230"
"    Median income (dollars)",""
"        Estimate","57,226"
"Suwannee County, Florida",""
"    Number",""
"        Estimate","14,888"
"    Percent Distribution",""
"        Estimate","14,888"
"    Median income (dollars)",""
"        Estimate","47,839"
"Taylor County, Florida",""
"    Number",""
"        Estimate","7,405"
"    Percent Distribution",""
"        Estimate","7,405"
"    Median income (dollars)",""
"        Estimate","40,306"
"Union County, Florida",""
"    Number",""
"        Estimate","3,960"
"    Percent Distribution",""
"        Estimate","3,960"
"    Median income (dollars)",""
"        Estimate","44,270"
"Volusia County, Florida",""
"    Number",""
"        Estimate","216,495"
"    Percent Distribution",""
"        Estimate","216,495"
"    Median income (dollars)",""
"        Estimate","49,494"
"Wakulla County, Florida",""
"    Number",""
"        Estimate","11,200"
"    Percent Distribution",""
"        Estimate","11,200"
"    Median income (dollars)",""
"        Estimate","61,410"
"Walton County, Florida",""
"    Number",""
"        Estimate","27,420"
"    Percent Distribution",""
"        Estimate","27,420"
"    Median income (dollars)",""
"        Estimate","58,093"
"Washington County, Florida",""
"    Number",""
"        Estimate","8,827"
"    Percent Distribution",""
"        Estimate","8,827"
"    Median income (dollars)",""
"        Estimate","37,022"
