"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Alachua County, Florida",""
"    Number",""
"        Estimate","101,979"
"    Percent Distribution",""
"        Estimate","101,979"
"    Median income (dollars)",""
"        Estimate","50,089"
"Baker County, Florida",""
"    Number",""
"        Estimate","8,828"
"    Percent Distribution",""
"        Estimate","8,828"
"    Median income (dollars)",""
"        Estimate","62,299"
"Bay County, Florida",""
"    Number",""
"        Estimate","73,536"
"    Percent Distribution",""
"        Estimate","73,536"
"    Median income (dollars)",""
"        Estimate","56,483"
"Bradford County, Florida",""
"    Number",""
"        Estimate","9,318"
"    Percent Distribution",""
"        Estimate","9,318"
"    Median income (dollars)",""
"        Estimate","43,580"
"Brevard County, Florida",""
"    Number",""
"        Estimate","236,005"
"    Percent Distribution",""
"        Estimate","236,005"
"    Median income (dollars)",""
"        Estimate","59,359"
"Broward County, Florida",""
"    Number",""
"        Estimate","704,942"
"    Percent Distribution",""
"        Estimate","704,942"
"    Median income (dollars)",""
"        Estimate","60,922"
"Calhoun County, Florida",""
"    Number",""
"        Estimate","4,510"
"    Percent Distribution",""
"        Estimate","4,510"
"    Median income (dollars)",""
"        Estimate","38,037"
"Charlotte County, Florida",""
"    Number",""
"        Estimate","79,789"
"    Percent Distribution",""
"        Estimate","79,789"
"    Median income (dollars)",""
"        Estimate","52,724"
"Citrus County, Florida",""
"    Number",""
"        Estimate","64,621"
"    Percent Distribution",""
"        Estimate","64,621"
"    Median income (dollars)",""
"        Estimate","45,689"
"Clay County, Florida",""
"    Number",""
"        Estimate","75,360"
"    Percent Distribution",""
"        Estimate","75,360"
"    Median income (dollars)",""
"        Estimate","68,657"
"Collier County, Florida",""
"    Number",""
"        Estimate","147,977"
"    Percent Distribution",""
"        Estimate","147,977"
"    Median income (dollars)",""
"        Estimate","70,217"
"Columbia County, Florida",""
"    Number",""
"        Estimate","25,205"
"    Percent Distribution",""
"        Estimate","25,205"
"    Median income (dollars)",""
"        Estimate","44,818"
"DeSoto County, Florida",""
"    Number",""
"        Estimate","12,421"
"    Percent Distribution",""
"        Estimate","12,421"
"    Median income (dollars)",""
"        Estimate","36,360"
"Dixie County, Florida",""
"    Number",""
"        Estimate","6,233"
"    Percent Distribution",""
"        Estimate","6,233"
"    Median income (dollars)",""
"        Estimate","41,674"
"Duval County, Florida",""
"    Number",""
"        Estimate","369,704"
"    Percent Distribution",""
"        Estimate","369,704"
"    Median income (dollars)",""
"        Estimate","56,769"
"Escambia County, Florida",""
"    Number",""
"        Estimate","122,169"
"    Percent Distribution",""
"        Estimate","122,169"
"    Median income (dollars)",""
"        Estimate","53,023"
"Flagler County, Florida",""
"    Number",""
"        Estimate","44,040"
"    Percent Distribution",""
"        Estimate","44,040"
