"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Anderson County, Texas",""
"    Number",""
"        Estimate","16,677"
"    Percent Distribution",""
"        Estimate","16,677"
"    Median income (dollars)",""
"        Estimate","43,455"
"Andrews County, Texas",""
"    Number",""
"        Estimate","5,573"
"    Percent Distribution",""
"        Estimate","5,573"
"    Median income (dollars)",""
"        Estimate","76,158"
"Angelina County, Texas",""
"    Number",""
"        Estimate","31,035"
"    Percent Distribution",""
"        Estimate","31,035"
"    Median income (dollars)",""
"        Estimate","50,453"
"Aransas County, Texas",""
"    Number",""
"        Estimate","9,548"
"    Percent Distribution",""
"        Estimate","9,548"
"    Median income (dollars)",""
"        Estimate","45,137"
"Archer County, Texas",""
"    Number",""
"        Estimate","3,452"
"    Percent Distribution",""
"        Estimate","3,452"
"    Median income (dollars)",""
"        Estimate","63,835"
"Armstrong County, Texas",""
"    Number",""
"        Estimate","694"
"    Percent Distribution",""
"        Estimate","694"
"    Median income (dollars)",""
"        Estimate","72,500"
"Atascosa County, Texas",""
"    Number",""
"        Estimate","15,546"
"    Percent Distribution",""
"        Estimate","15,546"
"    Median income (dollars)",""
"        Estimate","55,366"
"Austin County, Texas",""
"    Number",""
"        Estimate","11,301"
"    Percent Distribution",""
"        Estimate","11,301"
"    Median income (dollars)",""
"        Estimate","66,206"
"Bailey County, Texas",""
"    Number",""
"        Estimate","2,054"
"    Percent Distribution",""
"        Estimate","2,054"
"    Median income (dollars)",""
"        Estimate","52,273"
"Bandera County, Texas",""
"    Number",""
"        Estimate","8,399"
"    Percent Distribution",""
"        Estimate","8,399"
"    Median income (dollars)",""
"        Estimate","58,661"
"Bastrop County, Texas",""
"    Number",""
"        Estimate","25,571"
"    Percent Distribution",""
"        Estimate","25,571"
"    Median income (dollars)",""
"        Estimate","64,597"
"Baylor County, Texas",""
"    Number",""
"        Estimate","1,530"
"    Percent Distribution",""
"        Estimate","1,530"
"    Median income (dollars)",""
"        Estimate","40,739"
"Bee County, Texas",""
"    Number",""
"        Estimate","8,269"
"    Percent Distribution",""
"        Estimate","8,269"
"    Median income (dollars)",""
"        Estimate","44,578"
"Bell County, Texas",""
"    Number",""
"        Estimate","122,689"
"    Percent Distribution",""
"        Estimate","122,689"
"    Median income (dollars)",""
"        Estimate","54,884"
"Bexar County, Texas",""
"    Number",""
"        Estimate","636,245"
"    Percent Distribution",""
"        Estimate","636,245"
"    Median income (dollars)",""
"        Estimate","57,157"
"Blanco County, Texas",""
"    Number",""
"        Estimate","4,343"
"    Percent Distribution",""
"        Estimate","4,343"
"    Median income (dollars)",""
"        Estimate","66,390"
"Borden County, Texas",""
"    Number",""
"        Estimate","227"
"    Percent Distribution",""
"        Estimate","227"
"    Median income (dollars)",""
"        Estimate","72,188"
"Bosque County, Texas",""
"    Number",""
"        Estimate","7,211"
"    Percent Distribution",""
"        Estimate","7,211"
"    Median income (dollars)",""
"        Estimate","52,148"
"Bowie County, Texas",""
"    Number",""
"        Estimate","34,076"
"    Percent Distribution",""
"        Estimate","34,076"
"    Median income (dollars)",""
"        Estimate","50,164"
