"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Anderson County, Texas",""
"    Number",""
"        Estimate","16,459"
"    Percent Distribution",""
"        Estimate","16,459"
"    Median income (dollars)",""
"        Estimate","43,355"
"Andrews County, Texas",""
"    Number",""
"        Estimate","5,508"
"    Percent Distribution",""
"        Estimate","5,508"
"    Median income (dollars)",""
"        Estimate","74,233"
"Angelina County, Texas",""
"    Number",""
"        Estimate","30,783"
"    Percent Distribution",""
"        Estimate","30,783"
"    Median income (dollars)",""
"        Estimate","47,714"
"Aransas County, Texas",""
"    Number",""
"        Estimate","9,432"
"    Percent Distribution",""
"        Estimate","9,432"
"    Median income (dollars)",""
"        Estimate","44,865"
"Archer County, Texas",""
"    Number",""
"        Estimate","3,332"
"    Percent Distribution",""
"        Estimate","3,332"
"    Median income (dollars)",""
"        Estimate","64,476"
"Armstrong County, Texas",""
"    Number",""
"        Estimate","708"
"    Percent Distribution",""
"        Estimate","708"
"    Median income (dollars)",""
"        Estimate","66,563"
"Atascosa County, Texas",""
"    Number",""
"        Estimate","15,387"
"    Percent Distribution",""
"        Estimate","15,387"
"    Median income (dollars)",""
"        Estimate","55,265"
"Austin County, Texas",""
"    Number",""
"        Estimate","11,041"
"    Percent Distribution",""
"        Estimate","11,041"
"    Median income (dollars)",""
"        Estimate","65,365"
"Bailey County, Texas",""
"    Number",""
"        Estimate","2,111"
"    Percent Distribution",""
"        Estimate","2,111"
"    Median income (dollars)",""
"        Estimate","46,485"
"Bandera County, Texas",""
"    Number",""
"        Estimate","8,242"
"    Percent Distribution",""
"        Estimate","8,242"
"    Median income (dollars)",""
"        Estimate","53,683"
"Bastrop County, Texas",""
"    Number",""
"        Estimate","25,345"
"    Percent Distribution",""
"        Estimate","25,345"
"    Median income (dollars)",""
"        Estimate","62,941"
"Baylor County, Texas",""
"    Number",""
"        Estimate","1,474"
"    Percent Distribution",""
"        Estimate","1,474"
"    Median income (dollars)",""
"        Estimate","40,750"
"Bee County, Texas",""
"    Number",""
"        Estimate","8,537"
"    Percent Distribution",""
"        Estimate","8,537"
"    Median income (dollars)",""
"        Estimate","42,032"
"Bell County, Texas",""
"    Number",""
"        Estimate","120,241"
"    Percent Distribution",""
"        Estimate","120,241"
"    Median income (dollars)",""
"        Estimate","54,184"
"Bexar County, Texas",""
"    Number",""
"        Estimate","632,574"
"    Percent Distribution",""
"        Estimate","632,574"
"    Median income (dollars)",""
"        Estimate","55,456"
"Blanco County, Texas",""
"    Number",""
"        Estimate","4,297"
"    Percent Distribution",""
"        Estimate","4,297"
"    Median income (dollars)",""
"        Estimate","63,071"
"Borden County, Texas",""
"    Number",""
"        Estimate","261"
"    Percent Distribution",""
"        Estimate","261"
"    Median income (dollars)",""
"        Estimate","81,985"
"Bosque County, Texas",""
"    Number",""
"        Estimate","7,088"
"    Percent Distribution",""
"        Estimate","7,088"
"    Median income (dollars)",""
"        Estimate","50,882"
"Bowie County, Texas",""
"    Number",""
"        Estimate","33,731"
"    Percent Distribution",""
"        Estimate","33,731"
"    Median income (dollars)",""
"        Estimate","47,505"
