"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Anderson County, Texas",""
"    Number",""
"        Estimate","16,567"
"    Percent Distribution",""
"        Estimate","16,567"
"    Median income (dollars)",""
"        Estimate","42,313"
"Andrews County, Texas",""
"    Number",""
"        Estimate","5,413"
"    Percent Distribution",""
"        Estimate","5,413"
"    Median income (dollars)",""
"        Estimate","70,753"
"Angelina County, Texas",""
"    Number",""
"        Estimate","30,931"
"    Percent Distribution",""
"        Estimate","30,931"
"    Median income (dollars)",""
"        Estimate","46,472"
"Aransas County, Texas",""
"    Number",""
"        Estimate","9,529"
"    Percent Distribution",""
"        Estimate","9,529"
"    Median income (dollars)",""
"        Estimate","44,601"
"Archer County, Texas",""
"    Number",""
"        Estimate","3,351"
"    Percent Distribution",""
"        Estimate","3,351"
"    Median income (dollars)",""
"        Estimate","63,192"
"Armstrong County, Texas",""
"    Number",""
"        Estimate","702"
"    Percent Distribution",""
"        Estimate","702"
"    Median income (dollars)",""
"        Estimate","68,750"
"Atascosa County, Texas",""
"    Number",""
"        Estimate","15,509"
"    Percent Distribution",""
"        Estimate","15,509"
"    Median income (dollars)",""
"        Estimate","55,194"
"Austin County, Texas",""
"    Number",""
"        Estimate","11,021"
"    Percent Distribution",""
"        Estimate","11,021"
"    Median income (dollars)",""
"        Estimate","62,614"
"Bailey County, Texas",""
"    Number",""
"        Estimate","2,230"
"    Percent Distribution",""
"        Estimate","2,230"
"    Median income (dollars)",""
"        Estimate","43,523"
"Bandera County, Texas",""
"    Number",""
"        Estimate","8,278"
"    Percent Distribution",""
"        Estimate","8,278"
"    Median income (dollars)",""
"        Estimate","56,413"
"Bastrop County, Texas",""
"    Number",""
"        Estimate","26,015"
"    Percent Distribution",""
"        Estimate","26,015"
"    Median income (dollars)",""
"        Estimate","59,185"
"Baylor County, Texas",""
"    Number",""
"        Estimate","1,644"
"    Percent Distribution",""
"        Estimate","1,644"
"    Median income (dollars)",""
"        Estimate","36,157"
"Bee County, Texas",""
"    Number",""
"        Estimate","8,531"
"    Percent Distribution",""
"        Estimate","8,531"
"    Median income (dollars)",""
"        Estimate","45,415"
"Bell County, Texas",""
"    Number",""
"        Estimate","116,397"
"    Percent Distribution",""
"        Estimate","116,397"
"    Median income (dollars)",""
"        Estimate","52,583"
"Bexar County, Texas",""
"    Number",""
"        Estimate","627,889"
"    Percent Distribution",""
"        Estimate","627,889"
"    Median income (dollars)",""
"        Estimate","53,999"
"Blanco County, Texas",""
"    Number",""
"        Estimate","4,230"
"    Percent Distribution",""
"        Estimate","4,230"
"    Median income (dollars)",""
"        Estimate","58,500"
"Borden County, Texas",""
"    Number",""
"        Estimate","248"
"    Percent Distribution",""
"        Estimate","248"
"    Median income (dollars)",""
"        Estimate","77,708"
"Bosque County, Texas",""
"    Number",""
"        Estimate","7,027"
"    Percent Distribution",""
"        Estimate","7,027"
"    Median income (dollars)",""
"        Estimate","48,677"
"Bowie County, Texas",""
"    Number",""
"        Estimate","33,171"
"    Percent Distribution",""
"        Estimate","33,171"
"    Median income (dollars)",""
"        Estimate","46,283"
