"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Brazoria County, Texas",""
"    Number",""
"        Estimate","117,088"
"    Percent Distribution",""
"        Estimate","117,088"
"    Median income (dollars)",""
"        Estimate","76,426"
"Brazos County, Texas",""
"    Number",""
"        Estimate","77,480"
"    Percent Distribution",""
"        Estimate","77,480"
"    Median income (dollars)",""
"        Estimate","43,907"
"Brewster County, Texas",""
"    Number",""
"        Estimate","3,932"
"    Percent Distribution",""
"        Estimate","3,932"
"    Median income (dollars)",""
"        Estimate","38,906"
"Briscoe County, Texas",""
"    Number",""
"        Estimate","664"
"    Percent Distribution",""
"        Estimate","664"
"    Median income (dollars)",""
"        Estimate","42,500"
"Brooks County, Texas",""
"    Number",""
"        Estimate","2,022"
"    Percent Distribution",""
"        Estimate","2,022"
"    Median income (dollars)",""
"        Estimate","24,794"
"Brown County, Texas",""
"    Number",""
"        Estimate","13,835"
"    Percent Distribution",""
"        Estimate","13,835"
"    Median income (dollars)",""
"        Estimate","43,062"
"Burleson County, Texas",""
"    Number",""
"        Estimate","6,565"
"    Percent Distribution",""
"        Estimate","6,565"
"    Median income (dollars)",""
"        Estimate","52,510"
"Burnet County, Texas",""
"    Number",""
"        Estimate","16,545"
"    Percent Distribution",""
"        Estimate","16,545"
"    Median income (dollars)",""
"        Estimate","57,173"
"Caldwell County, Texas",""
"    Number",""
"        Estimate","12,894"
"    Percent Distribution",""
"        Estimate","12,894"
"    Median income (dollars)",""
"        Estimate","51,346"
"Calhoun County, Texas",""
"    Number",""
"        Estimate","7,733"
"    Percent Distribution",""
"        Estimate","7,733"
"    Median income (dollars)",""
"        Estimate","58,788"
"Callahan County, Texas",""
"    Number",""
"        Estimate","5,291"
"    Percent Distribution",""
"        Estimate","5,291"
"    Median income (dollars)",""
"        Estimate","40,945"
"Cameron County, Texas",""
"    Number",""
"        Estimate","122,188"
"    Percent Distribution",""
"        Estimate","122,188"
"    Median income (dollars)",""
"        Estimate","36,095"
"Camp County, Texas",""
"    Number",""
"        Estimate","4,730"
"    Percent Distribution",""
"        Estimate","4,730"
"    Median income (dollars)",""
"        Estimate","41,811"
"Carson County, Texas",""
"    Number",""
"        Estimate","2,292"
"    Percent Distribution",""
"        Estimate","2,292"
"    Median income (dollars)",""
"        Estimate","67,010"
"Cass County, Texas",""
"    Number",""
"        Estimate","11,811"
"    Percent Distribution",""
"        Estimate","11,811"
"    Median income (dollars)",""
"        Estimate","41,432"
"Castro County, Texas",""
"    Number",""
"        Estimate","2,462"
"    Percent Distribution",""
"        Estimate","2,462"
"    Median income (dollars)",""
"        Estimate","44,643"
"Chambers County, Texas",""
"    Number",""
"        Estimate","13,320"
"    Percent Distribution",""
"        Estimate","13,320"
"    Median income (dollars)",""
"        Estimate","74,368"
"Cherokee County, Texas",""
"    Number",""
"        Estimate","17,885"
"    Percent Distribution",""
"        Estimate","17,885"
"    Median income (dollars)",""
"        Estimate","44,294"
"Childress County, Texas",""
"    Number",""
"        Estimate","2,282"
"    Percent Distribution",""
"        Estimate","2,282"
"    Median income (dollars)",""
"        Estimate","40,432"
"Clay County, Texas",""
"    Number",""
"        Estimate","4,076"
"    Percent Distribution",""
"        Estimate","4,076"
"    Median income (dollars)",""
"        Estimate","46,863"
"Cochran County, Texas",""
"    Number",""
"        Estimate","1,000"
"    Percent Distribution",""
"        Estimate","1,000"
"    Median income (dollars)",""
"        Estimate","37,500"
"Coke County, Texas",""
"    Number",""
"        Estimate","1,574"
"    Percent Distribution",""
"        Estimate","1,574"
"    Median income (dollars)",""
"        Estimate","42,500"
"Coleman County, Texas",""
"    Number",""
"        Estimate","3,470"
"    Percent Distribution",""
"        Estimate","3,470"
"    Median income (dollars)",""
"        Estimate","40,804"
"Collin County, Texas",""
"    Number",""
"        Estimate","323,905"
"    Percent Distribution",""
"        Estimate","323,905"
"    Median income (dollars)",""
"        Estimate","90,124"
"Collingsworth County, Texas",""
"    Number",""
"        Estimate","1,099"
"    Percent Distribution",""
"        Estimate","1,099"
"    Median income (dollars)",""
"        Estimate","46,348"
"Colorado County, Texas",""
"    Number",""
"        Estimate","7,603"
"    Percent Distribution",""
"        Estimate","7,603"
"    Median income (dollars)",""
"        Estimate","50,241"
"Comal County, Texas",""
"    Number",""
"        Estimate","47,253"
"    Percent Distribution",""
"        Estimate","47,253"
"    Median income (dollars)",""
"        Estimate","73,655"
"Comanche County, Texas",""
"    Number",""
"        Estimate","5,107"
"    Percent Distribution",""
"        Estimate","5,107"
"    Median income (dollars)",""
"        Estimate","42,419"
"Concho County, Texas",""
"    Number",""
"        Estimate","791"
"    Percent Distribution",""
"        Estimate","791"
"    Median income (dollars)",""
"        Estimate","46,696"
"Cooke County, Texas",""
"    Number",""
"        Estimate","15,185"
"    Percent Distribution",""
"        Estimate","15,185"
"    Median income (dollars)",""
"        Estimate","60,027"
"Coryell County, Texas",""
"    Number",""
"        Estimate","22,424"
"    Percent Distribution",""
"        Estimate","22,424"
"    Median income (dollars)",""
"        Estimate","50,865"
"Cottle County, Texas",""
"    Number",""
"        Estimate","664"
"    Percent Distribution",""
"        Estimate","664"
"    Median income (dollars)",""
"        Estimate","33,534"
"Crane County, Texas",""
"    Number",""
"        Estimate","1,479"
"    Percent Distribution",""
"        Estimate","1,479"
"    Median income (dollars)",""
"        Estimate","63,935"
"Crockett County, Texas",""
"    Number",""
"        Estimate","1,411"
"    Percent Distribution",""
"        Estimate","1,411"
"    Median income (dollars)",""
"        Estimate","52,310"
"Crosby County, Texas",""
"    Number",""
"        Estimate","2,064"
"    Percent Distribution",""
"        Estimate","2,064"
"    Median income (dollars)",""
"        Estimate","38,674"
"Culberson County, Texas",""
"    Number",""
"        Estimate","735"
"    Percent Distribution",""
"        Estimate","735"
"    Median income (dollars)",""
"        Estimate","33,125"
"Dallam County, Texas",""
"    Number",""
"        Estimate","2,432"
"    Percent Distribution",""
"        Estimate","2,432"
"    Median income (dollars)",""
"        Estimate","45,580"
"Dallas County, Texas",""
"    Number",""
"        Estimate","906,179"
"    Percent Distribution",""
"        Estimate","906,179"
"    Median income (dollars)",""
"        Estimate","53,626"
"Dawson County, Texas",""
"    Number",""
"        Estimate","4,339"
"    Percent Distribution",""
"        Estimate","4,339"
"    Median income (dollars)",""
"        Estimate","43,201"
"Deaf Smith County, Texas",""
"    Number",""
"        Estimate","6,118"
"    Percent Distribution",""
"        Estimate","6,118"
"    Median income (dollars)",""
"        Estimate","51,543"
"Delta County, Texas",""
"    Number",""
"        Estimate","2,035"
"    Percent Distribution",""
"        Estimate","2,035"
"    Median income (dollars)",""
"        Estimate","42,642"
"Denton County, Texas",""
"    Number",""
"        Estimate","275,164"
"    Percent Distribution",""
"        Estimate","275,164"
"    Median income (dollars)",""
"        Estimate","80,290"
"DeWitt County, Texas",""
"    Number",""
"        Estimate","7,260"
"    Percent Distribution",""
"        Estimate","7,260"
"    Median income (dollars)",""
"        Estimate","50,960"
"Dickens County, Texas",""
"    Number",""
"        Estimate","832"
"    Percent Distribution",""
"        Estimate","832"
"    Median income (dollars)",""
"        Estimate","43,088"
"Dimmit County, Texas",""
"    Number",""
"        Estimate","3,476"
"    Percent Distribution",""
"        Estimate","3,476"
"    Median income (dollars)",""
"        Estimate","31,384"
"Donley County, Texas",""
"    Number",""
"        Estimate","1,230"
"    Percent Distribution",""
"        Estimate","1,230"
"    Median income (dollars)",""
"        Estimate","44,429"
"Duval County, Texas",""
"    Number",""
"        Estimate","3,845"
"    Percent Distribution",""
"        Estimate","3,845"
"    Median income (dollars)",""
"        Estimate","35,443"
"Eastland County, Texas",""
"    Number",""
"        Estimate","6,437"
"    Percent Distribution",""
"        Estimate","6,437"
"    Median income (dollars)",""
"        Estimate","32,135"
"Ector County, Texas",""
"    Number",""
"        Estimate","51,475"
"    Percent Distribution",""
"        Estimate","51,475"
"    Median income (dollars)",""
"        Estimate","59,528"
"Edwards County, Texas",""
"    Number",""
"        Estimate","634"
"    Percent Distribution",""
"        Estimate","634"
"    Median income (dollars)",""
"        Estimate","48,462"
"Ellis County, Texas",""
"    Number",""
"        Estimate","54,725"
"    Percent Distribution",""
"        Estimate","54,725"
"    Median income (dollars)",""
"        Estimate","67,371"
"El Paso County, Texas",""
"    Number",""
"        Estimate","263,200"
"    Percent Distribution",""
"        Estimate","263,200"
"    Median income (dollars)",""
"        Estimate","43,244"
"Erath County, Texas",""
"    Number",""
"        Estimate","13,827"
"    Percent Distribution",""
"        Estimate","13,827"
"    Median income (dollars)",""
"        Estimate","47,013"
"Falls County, Texas",""
"    Number",""
"        Estimate","5,405"
"    Percent Distribution",""
"        Estimate","5,405"
"    Median income (dollars)",""
"        Estimate","38,834"
"Fannin County, Texas",""
"    Number",""
"        Estimate","12,027"
"    Percent Distribution",""
"        Estimate","12,027"
"    Median income (dollars)",""
"        Estimate","47,875"
"Fayette County, Texas",""
"    Number",""
"        Estimate","9,298"
"    Percent Distribution",""
"        Estimate","9,298"
"    Median income (dollars)",""
"        Estimate","56,941"
"Fisher County, Texas",""
"    Number",""
"        Estimate","1,696"
"    Percent Distribution",""
"        Estimate","1,696"
"    Median income (dollars)",""
"        Estimate","45,294"
"Floyd County, Texas",""
"    Number",""
"        Estimate","2,320"
"    Percent Distribution",""
"        Estimate","2,320"
"    Median income (dollars)",""
"        Estimate","48,767"
"Foard County, Texas",""
"    Number",""
"        Estimate","562"
"    Percent Distribution",""
"        Estimate","562"
"    Median income (dollars)",""
"        Estimate","50,000"
"Fort Bend County, Texas",""
"    Number",""
"        Estimate","222,331"
"    Percent Distribution",""
"        Estimate","222,331"
"    Median income (dollars)",""
"        Estimate","93,645"
"Franklin County, Texas",""
"    Number",""
"        Estimate","3,931"
"    Percent Distribution",""
"        Estimate","3,931"
"    Median income (dollars)",""
"        Estimate","43,967"
"Freestone County, Texas",""
"    Number",""
"        Estimate","7,232"
"    Percent Distribution",""
"        Estimate","7,232"
"    Median income (dollars)",""
"        Estimate","45,890"
"Frio County, Texas",""
"    Number",""
"        Estimate","4,530"
"    Percent Distribution",""
"        Estimate","4,530"
"    Median income (dollars)",""
"        Estimate","37,382"
"Gaines County, Texas",""
"    Number",""
"        Estimate","5,716"
"    Percent Distribution",""
"        Estimate","5,716"
"    Median income (dollars)",""
"        Estimate","58,167"
"Galveston County, Texas",""
"    Number",""
"        Estimate","117,455"
"    Percent Distribution",""
"        Estimate","117,455"
"    Median income (dollars)",""
"        Estimate","65,702"
"Garza County, Texas",""
"    Number",""
"        Estimate","1,715"
"    Percent Distribution",""
"        Estimate","1,715"
"    Median income (dollars)",""
"        Estimate","53,832"
"Gillespie County, Texas",""
"    Number",""
"        Estimate","10,795"
"    Percent Distribution",""
"        Estimate","10,795"
"    Median income (dollars)",""
"        Estimate","56,267"
"Glasscock County, Texas",""
"    Number",""
"        Estimate","475"
"    Percent Distribution",""
"        Estimate","475"
"    Median income (dollars)",""
"        Estimate","64,886"
"Goliad County, Texas",""
"    Number",""
"        Estimate","2,755"
"    Percent Distribution",""
"        Estimate","2,755"
"    Median income (dollars)",""
"        Estimate","56,737"
"Gonzales County, Texas",""
"    Number",""
"        Estimate","7,018"
"    Percent Distribution",""
"        Estimate","7,018"
"    Median income (dollars)",""
"        Estimate","47,516"
"Gray County, Texas",""
"    Number",""
"        Estimate","7,971"
"    Percent Distribution",""
"        Estimate","7,971"
"    Median income (dollars)",""
"        Estimate","48,314"
"Grayson County, Texas",""
"    Number",""
"        Estimate","47,550"
"    Percent Distribution",""
"        Estimate","47,550"
"    Median income (dollars)",""
"        Estimate","52,683"
"Gregg County, Texas",""
"    Number",""
"        Estimate","45,615"
"    Percent Distribution",""
"        Estimate","45,615"
"    Median income (dollars)",""
"        Estimate","47,970"
"Grimes County, Texas",""
"    Number",""
"        Estimate","8,980"
"    Percent Distribution",""
"        Estimate","8,980"
"    Median income (dollars)",""
"        Estimate","49,745"
"Guadalupe County, Texas",""
"    Number",""
"        Estimate","51,990"
"    Percent Distribution",""
"        Estimate","51,990"
"    Median income (dollars)",""
"        Estimate","66,187"
"Hale County, Texas",""
"    Number",""
"        Estimate","11,217"
"    Percent Distribution",""
"        Estimate","11,217"
"    Median income (dollars)",""
"        Estimate","46,012"
"Hall County, Texas",""
"    Number",""
"        Estimate","1,244"
"    Percent Distribution",""
"        Estimate","1,244"
"    Median income (dollars)",""
"        Estimate","31,324"
"Hamilton County, Texas",""
"    Number",""
"        Estimate","3,157"
"    Percent Distribution",""
"        Estimate","3,157"
"    Median income (dollars)",""
"        Estimate","46,611"
"Hansford County, Texas",""
"    Number",""
"        Estimate","1,924"
"    Percent Distribution",""
"        Estimate","1,924"
"    Median income (dollars)",""
"        Estimate","40,678"
"Hardeman County, Texas",""
"    Number",""
"        Estimate","1,533"
"    Percent Distribution",""
"        Estimate","1,533"
"    Median income (dollars)",""
"        Estimate","37,995"
"Hardin County, Texas",""
"    Number",""
"        Estimate","20,739"
"    Percent Distribution",""
"        Estimate","20,739"
"    Median income (dollars)",""
"        Estimate","56,131"
"Harris County, Texas",""
"    Number",""
"        Estimate","1,562,813"
"    Percent Distribution",""
"        Estimate","1,562,813"
"    Median income (dollars)",""
"        Estimate","57,791"
"Harrison County, Texas",""
"    Number",""
"        Estimate","23,363"
"    Percent Distribution",""
"        Estimate","23,363"
"    Median income (dollars)",""
"        Estimate","48,644"
"Hartley County, Texas",""
"    Number",""
"        Estimate","1,754"
"    Percent Distribution",""
"        Estimate","1,754"
"    Median income (dollars)",""
"        Estimate","64,427"
"Haskell County, Texas",""
"    Number",""
"        Estimate","2,128"
"    Percent Distribution",""
"        Estimate","2,128"
"    Median income (dollars)",""
"        Estimate","43,529"
"Hays County, Texas",""
"    Number",""
"        Estimate","68,045"
"    Percent Distribution",""
"        Estimate","68,045"
"    Median income (dollars)",""
"        Estimate","62,815"
"Hemphill County, Texas",""
"    Number",""
"        Estimate","1,358"
"    Percent Distribution",""
"        Estimate","1,358"
"    Median income (dollars)",""
"        Estimate","68,679"
"Henderson County, Texas",""
"    Number",""
"        Estimate","30,459"
"    Percent Distribution",""
"        Estimate","30,459"
"    Median income (dollars)",""
"        Estimate","44,888"
"Hidalgo County, Texas",""
"    Number",""
"        Estimate","232,523"
"    Percent Distribution",""
"        Estimate","232,523"
"    Median income (dollars)",""
"        Estimate","37,097"
"Hill County, Texas",""
"    Number",""
"        Estimate","12,674"
"    Percent Distribution",""
"        Estimate","12,674"
"    Median income (dollars)",""
"        Estimate","45,970"
"Hockley County, Texas",""
"    Number",""
"        Estimate","8,065"
"    Percent Distribution",""
"        Estimate","8,065"
"    Median income (dollars)",""
"        Estimate","49,184"
"Hood County, Texas",""
"    Number",""
"        Estimate","21,527"
"    Percent Distribution",""
"        Estimate","21,527"
"    Median income (dollars)",""
"        Estimate","60,275"
"Hopkins County, Texas",""
"    Number",""
"        Estimate","13,287"
"    Percent Distribution",""
"        Estimate","13,287"
"    Median income (dollars)",""
"        Estimate","47,832"
"Houston County, Texas",""
"    Number",""
"        Estimate","8,328"
"    Percent Distribution",""
"        Estimate","8,328"
"    Median income (dollars)",""
"        Estimate","33,552"
"Howard County, Texas",""
"    Number",""
"        Estimate","11,032"
"    Percent Distribution",""
"        Estimate","11,032"
"    Median income (dollars)",""
"        Estimate","50,855"
"Hudspeth County, Texas",""
"    Number",""
"        Estimate","890"
"    Percent Distribution",""
"        Estimate","890"
"    Median income (dollars)",""
"        Estimate","26,346"
"Hunt County, Texas",""
"    Number",""
"        Estimate","31,781"
"    Percent Distribution",""
"        Estimate","31,781"
"    Median income (dollars)",""
"        Estimate","49,319"
"Hutchinson County, Texas",""
"    Number",""
"        Estimate","7,799"
"    Percent Distribution",""
"        Estimate","7,799"
"    Median income (dollars)",""
"        Estimate","50,035"
"Irion County, Texas",""
"    Number",""
"        Estimate","648"
"    Percent Distribution",""
"        Estimate","648"
"    Median income (dollars)",""
"        Estimate","63,021"
"Jack County, Texas",""
"    Number",""
"        Estimate","3,075"
"    Percent Distribution",""
"        Estimate","3,075"
"    Median income (dollars)",""
"        Estimate","52,829"
"Jackson County, Texas",""
"    Number",""
"        Estimate","5,232"
"    Percent Distribution",""
"        Estimate","5,232"
"    Median income (dollars)",""
"        Estimate","58,504"
"Jasper County, Texas",""
"    Number",""
"        Estimate","11,974"
"    Percent Distribution",""
"        Estimate","11,974"
"    Median income (dollars)",""
"        Estimate","41,960"
"Jeff Davis County, Texas",""
"    Number",""
"        Estimate","1,007"
"    Percent Distribution",""
"        Estimate","1,007"
"    Median income (dollars)",""
"        Estimate","46,534"
"Jefferson County, Texas",""
"    Number",""
"        Estimate","94,020"
"    Percent Distribution",""
"        Estimate","94,020"
"    Median income (dollars)",""
"        Estimate","46,315"
"Jim Hogg County, Texas",""
"    Number",""
"        Estimate","1,587"
"    Percent Distribution",""
"        Estimate","1,587"
"    Median income (dollars)",""
"        Estimate","31,403"
"Jim Wells County, Texas",""
"    Number",""
"        Estimate","13,614"
"    Percent Distribution",""
"        Estimate","13,614"
"    Median income (dollars)",""
"        Estimate","41,103"
"Johnson County, Texas",""
"    Number",""
"        Estimate","55,467"
"    Percent Distribution",""
"        Estimate","55,467"
"    Median income (dollars)",""
"        Estimate","60,458"
"Jones County, Texas",""
"    Number",""
"        Estimate","5,635"
"    Percent Distribution",""
"        Estimate","5,635"
"    Median income (dollars)",""
"        Estimate","48,601"
"Karnes County, Texas",""
"    Number",""
"        Estimate","4,303"
"    Percent Distribution",""
"        Estimate","4,303"
"    Median income (dollars)",""
"        Estimate","53,051"
"Kaufman County, Texas",""
"    Number",""
"        Estimate","36,525"
"    Percent Distribution",""
"        Estimate","36,525"
"    Median income (dollars)",""
"        Estimate","63,926"
"Kendall County, Texas",""
"    Number",""
"        Estimate","13,691"
"    Percent Distribution",""
"        Estimate","13,691"
"    Median income (dollars)",""
"        Estimate","81,023"
"Kenedy County, Texas",""
"    Number",""
"        Estimate","152"
"    Percent Distribution",""
"        Estimate","152"
"    Median income (dollars)",""
"        Estimate","24,800"
"Kent County, Texas",""
"    Number",""
"        Estimate","275"
"    Percent Distribution",""
"        Estimate","275"
"    Median income (dollars)",""
"        Estimate","52,250"
"Kerr County, Texas",""
"    Number",""
"        Estimate","20,580"
"    Percent Distribution",""
"        Estimate","20,580"
"    Median income (dollars)",""
"        Estimate","48,698"
"Kimble County, Texas",""
"    Number",""
"        Estimate","1,941"
"    Percent Distribution",""
"        Estimate","1,941"
"    Median income (dollars)",""
"        Estimate","41,095"
"King County, Texas",""
"    Number",""
"        Estimate","101"
"    Percent Distribution",""
"        Estimate","101"
"    Median income (dollars)",""
"        Estimate","56,964"
"Kinney County, Texas",""
"    Number",""
"        Estimate","1,200"
"    Percent Distribution",""
"        Estimate","1,200"
"    Median income (dollars)",""
"        Estimate","34,926"
"Kleberg County, Texas",""
"    Number",""
"        Estimate","10,958"
"    Percent Distribution",""
"        Estimate","10,958"
"    Median income (dollars)",""
"        Estimate","41,700"
"Knox County, Texas",""
"    Number",""
"        Estimate","1,376"
"    Percent Distribution",""
"        Estimate","1,376"
"    Median income (dollars)",""
"        Estimate","46,319"
"Lamar County, Texas",""
"    Number",""
"        Estimate","19,085"
"    Percent Distribution",""
"        Estimate","19,085"
"    Median income (dollars)",""
"        Estimate","42,198"
"Lamb County, Texas",""
"    Number",""
"        Estimate","4,790"
"    Percent Distribution",""
"        Estimate","4,790"
"    Median income (dollars)",""
"        Estimate","43,712"
"Lampasas County, Texas",""
"    Number",""
"        Estimate","7,748"
"    Percent Distribution",""
"        Estimate","7,748"
"    Median income (dollars)",""
"        Estimate","54,467"
"La Salle County, Texas",""
"    Number",""
"        Estimate","2,286"
"    Percent Distribution",""
"        Estimate","2,286"
"    Median income (dollars)",""
"        Estimate","44,601"
"Lavaca County, Texas",""
"    Number",""
"        Estimate","7,684"
"    Percent Distribution",""
"        Estimate","7,684"
"    Median income (dollars)",""
"        Estimate","51,708"
"Lee County, Texas",""
"    Number",""
"        Estimate","6,118"
"    Percent Distribution",""
"        Estimate","6,118"
"    Median income (dollars)",""
"        Estimate","55,741"
"Leon County, Texas",""
"    Number",""
"        Estimate","6,245"
"    Percent Distribution",""
"        Estimate","6,245"
"    Median income (dollars)",""
"        Estimate","44,875"
"Liberty County, Texas",""
"    Number",""
"        Estimate","25,974"
"    Percent Distribution",""
"        Estimate","25,974"
"    Median income (dollars)",""
"        Estimate","48,344"
"Limestone County, Texas",""
"    Number",""
"        Estimate","8,100"
"    Percent Distribution",""
"        Estimate","8,100"
"    Median income (dollars)",""
"        Estimate","40,356"
"Lipscomb County, Texas",""
"    Number",""
"        Estimate","1,276"
"    Percent Distribution",""
"        Estimate","1,276"
"    Median income (dollars)",""
"        Estimate","59,583"
"Live Oak County, Texas",""
"    Number",""
"        Estimate","3,586"
"    Percent Distribution",""
"        Estimate","3,586"
"    Median income (dollars)",""
"        Estimate","51,480"
"Llano County, Texas",""
"    Number",""
"        Estimate","8,681"
"    Percent Distribution",""
"        Estimate","8,681"
"    Median income (dollars)",""
"        Estimate","50,524"
"Loving County, Texas",""
"    Number",""
"        Estimate","31"
"    Percent Distribution",""
"        Estimate","31"
"    Median income (dollars)",""
"        Estimate","80,938"
"Lubbock County, Texas",""
"    Number",""
"        Estimate","110,275"
"    Percent Distribution",""
"        Estimate","110,275"
"    Median income (dollars)",""
"        Estimate","49,078"
"Lynn County, Texas",""
"    Number",""
"        Estimate","2,147"
"    Percent Distribution",""
"        Estimate","2,147"
"    Median income (dollars)",""
"        Estimate","44,922"
"McCulloch County, Texas",""
"    Number",""
"        Estimate","3,143"
"    Percent Distribution",""
"        Estimate","3,143"
"    Median income (dollars)",""
"        Estimate","42,367"
"McLennan County, Texas",""
"    Number",""
"        Estimate","88,208"
"    Percent Distribution",""
"        Estimate","88,208"
"    Median income (dollars)",""
"        Estimate","46,262"
"McMullen County, Texas",""
"    Number",""
"        Estimate","194"
"    Percent Distribution",""
"        Estimate","194"
"    Median income (dollars)",""
"        Estimate","71,389"
"Madison County, Texas",""
"    Number",""
"        Estimate","4,174"
"    Percent Distribution",""
"        Estimate","4,174"
"    Median income (dollars)",""
"        Estimate","44,004"
"Marion County, Texas",""
"    Number",""
"        Estimate","4,457"
"    Percent Distribution",""
"        Estimate","4,457"
"    Median income (dollars)",""
"        Estimate","36,938"
"Martin County, Texas",""
"    Number",""
"        Estimate","1,635"
"    Percent Distribution",""
"        Estimate","1,635"
"    Median income (dollars)",""
"        Estimate","71,115"
"Mason County, Texas",""
"    Number",""
"        Estimate","1,622"
"    Percent Distribution",""
"        Estimate","1,622"
"    Median income (dollars)",""
"        Estimate","40,949"
"Matagorda County, Texas",""
"    Number",""
"        Estimate","13,811"
"    Percent Distribution",""
"        Estimate","13,811"
"    Median income (dollars)",""
"        Estimate","44,896"
"Maverick County, Texas",""
"    Number",""
"        Estimate","16,416"
"    Percent Distribution",""
"        Estimate","16,416"
"    Median income (dollars)",""
"        Estimate","37,734"
"Medina County, Texas",""
"    Number",""
"        Estimate","15,154"
"    Percent Distribution",""
"        Estimate","15,154"
"    Median income (dollars)",""
"        Estimate","59,305"
"Menard County, Texas",""
"    Number",""
"        Estimate","964"
"    Percent Distribution",""
"        Estimate","964"
"    Median income (dollars)",""
"        Estimate","37,917"
"Midland County, Texas",""
"    Number",""
"        Estimate","55,045"
"    Percent Distribution",""
"        Estimate","55,045"
"    Median income (dollars)",""
"        Estimate","75,815"
"Milam County, Texas",""
"    Number",""
"        Estimate","9,437"
"    Percent Distribution",""
"        Estimate","9,437"
"    Median income (dollars)",""
"        Estimate","41,768"
"Mills County, Texas",""
"    Number",""
"        Estimate","1,833"
"    Percent Distribution",""
"        Estimate","1,833"
"    Median income (dollars)",""
"        Estimate","46,318"
"Mitchell County, Texas",""
"    Number",""
"        Estimate","2,639"
"    Percent Distribution",""
"        Estimate","2,639"
"    Median income (dollars)",""
"        Estimate","52,194"
"Montague County, Texas",""
"    Number",""
"        Estimate","8,044"
"    Percent Distribution",""
"        Estimate","8,044"
"    Median income (dollars)",""
"        Estimate","46,592"
"Montgomery County, Texas",""
"    Number",""
"        Estimate","186,861"
"    Percent Distribution",""
"        Estimate","186,861"
"    Median income (dollars)",""
"        Estimate","74,323"
"Moore County, Texas",""
"    Number",""
"        Estimate","6,725"
"    Percent Distribution",""
"        Estimate","6,725"
"    Median income (dollars)",""
"        Estimate","52,469"
"Morris County, Texas",""
"    Number",""
"        Estimate","5,024"
"    Percent Distribution",""
"        Estimate","5,024"
"    Median income (dollars)",""
"        Estimate","40,227"
