"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Median income (dollars)",""
"        Estimate","39,503"
"Manatee County, Florida",""
"    Number",""
"        Estimate","156,254"
"    Percent Distribution",""
"        Estimate","156,254"
"    Median income (dollars)",""
"        Estimate","64,964"
"Marion County, Florida",""
"    Number",""
"        Estimate","150,880"
"    Percent Distribution",""
"        Estimate","150,880"
"    Median income (dollars)",""
"        Estimate","50,808"
"Martin County, Florida",""
"    Number",""
"        Estimate","66,108"
"    Percent Distribution",""
"        Estimate","66,108"
"    Median income (dollars)",""
"        Estimate","69,769"
"Miami-Dade County, Florida",""
"    Number",""
"        Estimate","936,351"
"    Percent Distribution",""
"        Estimate","936,351"
"    Median income (dollars)",""
"        Estimate","57,815"
"Monroe County, Florida",""
"    Number",""
"        Estimate","33,643"
"    Percent Distribution",""
"        Estimate","33,643"
"    Median income (dollars)",""
"        Estimate","73,153"
"Nassau County, Florida",""
"    Number",""
"        Estimate","34,691"
"    Percent Distribution",""
"        Estimate","34,691"
"    Median income (dollars)",""
"        Estimate","77,504"
"Okaloosa County, Florida",""
"    Number",""
"        Estimate","81,785"
"    Percent Distribution",""
"        Estimate","81,785"
"    Median income (dollars)",""
"        Estimate","67,390"
"Okeechobee County, Florida",""
"    Number",""
"        Estimate","14,794"
"    Percent Distribution",""
"        Estimate","14,794"
"    Median income (dollars)",""
"        Estimate","47,020"
"Orange County, Florida",""
"    Number",""
"        Estimate","475,292"
"    Percent Distribution",""
"        Estimate","475,292"
"    Median income (dollars)",""
"        Estimate","65,784"
"Osceola County, Florida",""
"    Number",""
"        Estimate","110,156"
"    Percent Distribution",""
"        Estimate","110,156"
"    Median income (dollars)",""
"        Estimate","58,513"
"Palm Beach County, Florida",""
"    Number",""
"        Estimate","581,119"
"    Percent Distribution",""
"        Estimate","581,119"
"    Median income (dollars)",""
"        Estimate","68,874"
"Pasco County, Florida",""
"    Number",""
"        Estimate","217,318"
"    Percent Distribution",""
"        Estimate","217,318"
"    Median income (dollars)",""
"        Estimate","58,084"
"Pinellas County, Florida",""
"    Number",""
"        Estimate","415,730"
"    Percent Distribution",""
"        Estimate","415,730"
"    Median income (dollars)",""
"        Estimate","60,451"
"Polk County, Florida",""
"    Number",""
"        Estimate","253,178"
"    Percent Distribution",""
"        Estimate","253,178"
"    Median income (dollars)",""
"        Estimate","55,099"
"Putnam County, Florida",""
"    Number",""
"        Estimate","29,174"
"    Percent Distribution",""
"        Estimate","29,174"
"    Median income (dollars)",""
"        Estimate","39,975"
"St. Johns County, Florida",""
"    Number",""
"        Estimate","95,640"
"    Percent Distribution",""
"        Estimate","95,640"
"    Median income (dollars)",""
"        Estimate","88,794"
"St. Lucie County, Florida",""
"    Number",""
"        Estimate","122,186"
"    Percent Distribution",""
"        Estimate","122,186"
"    Median income (dollars)",""
"        Estimate","59,807"
"Santa Rosa County, Florida",""
"    Number",""
"        Estimate","67,534"
"    Percent Distribution",""
"        Estimate","67,534"
"    Median income (dollars)",""
"        Estimate","77,260"
"Sarasota County, Florida",""
"    Number",""
"        Estimate","193,923"
"    Percent Distribution",""
"        Estimate","193,923"
"    Median income (dollars)",""
"        Estimate","69,490"
"Seminole County, Florida",""
"    Number",""
"        Estimate","180,891"
"    Percent Distribution",""
"        Estimate","180,891"
"    Median income (dollars)",""
"        Estimate","73,002"
"Sumter County, Florida",""
"    Number",""
"        Estimate","61,441"
"    Percent Distribution",""
"        Estimate","61,441"
"    Median income (dollars)",""
"        Estimate","63,323"
"Suwannee County, Florida",""
"    Number",""
"        Estimate","15,098"
"    Percent Distribution",""
"        Estimate","15,098"
"    Median income (dollars)",""
"        Estimate","47,218"
"Taylor County, Florida",""
"    Number",""
"        Estimate","7,270"
"    Percent Distribution",""
"        Estimate","7,270"
"    Median income (dollars)",""
"        Estimate","43,563"
"Union County, Florida",""
"    Number",""
"        Estimate","4,064"
"    Percent Distribution",""
"        Estimate","4,064"
"    Median income (dollars)",""
"        Estimate","55,463"
"Volusia County, Florida",""
"    Number",""
"        Estimate","228,569"
"    Percent Distribution",""
"        Estimate","228,569"
"    Median income (dollars)",""
"        Estimate","56,786"
"Wakulla County, Florida",""
"    Number",""
"        Estimate","11,266"
"    Percent Distribution",""
"        Estimate","11,266"
"    Median income (dollars)",""
"        Estimate","72,941"
"Walton County, Florida",""
"    Number",""
"        Estimate","30,182"
"    Percent Distribution",""
"        Estimate","30,182"
"    Median income (dollars)",""
"        Estimate","68,111"
"Washington County, Florida",""
"    Number",""
"        Estimate","8,853"
"    Percent Distribution",""
"        Estimate","8,853"
"    Median income (dollars)",""
"        Estimate","41,806"
