"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Anderson County, Texas",""
"    Number",""
"        Estimate","16,899"
"    Percent Distribution",""
"        Estimate","16,899"
"    Median income (dollars)",""
"        Estimate","57,445"
"Andrews County, Texas",""
"    Number",""
"        Estimate","6,603"
"    Percent Distribution",""
"        Estimate","6,603"
"    Median income (dollars)",""
"        Estimate","86,458"
"Angelina County, Texas",""
"    Number",""
"        Estimate","31,583"
"    Percent Distribution",""
"        Estimate","31,583"
"    Median income (dollars)",""
"        Estimate","57,055"
"Aransas County, Texas",""
"    Number",""
"        Estimate","11,412"
"    Percent Distribution",""
"        Estimate","11,412"
"    Median income (dollars)",""
"        Estimate","58,168"
"Archer County, Texas",""
"    Number",""
"        Estimate","3,367"
"    Percent Distribution",""
"        Estimate","3,367"
"    Median income (dollars)",""
"        Estimate","69,954"
"Armstrong County, Texas",""
"    Number",""
"        Estimate","725"
"    Percent Distribution",""
"        Estimate","725"
"    Median income (dollars)",""
"        Estimate","70,417"
"Atascosa County, Texas",""
"    Number",""
"        Estimate","15,920"
"    Percent Distribution",""
"        Estimate","15,920"
"    Median income (dollars)",""
"        Estimate","67,442"
"Austin County, Texas",""
"    Number",""
"        Estimate","11,913"
"    Percent Distribution",""
"        Estimate","11,913"
"    Median income (dollars)",""
"        Estimate","73,556"
"Bailey County, Texas",""
"    Number",""
"        Estimate","1,933"
"    Percent Distribution",""
"        Estimate","1,933"
"    Median income (dollars)",""
"        Estimate","69,830"
"Bandera County, Texas",""
"    Number",""
"        Estimate","8,532"
"    Percent Distribution",""
"        Estimate","8,532"
"    Median income (dollars)",""
"        Estimate","70,965"
"Bastrop County, Texas",""
"    Number",""
"        Estimate","33,259"
"    Percent Distribution",""
"        Estimate","33,259"
"    Median income (dollars)",""
"        Estimate","80,151"
"Baylor County, Texas",""
"    Number",""
"        Estimate","1,477"
"    Percent Distribution",""
"        Estimate","1,477"
"    Median income (dollars)",""
"        Estimate","52,716"
"Bee County, Texas",""
"    Number",""
"        Estimate","8,563"
"    Percent Distribution",""
"        Estimate","8,563"
"    Median income (dollars)",""
"        Estimate","50,283"
"Bell County, Texas",""
"    Number",""
"        Estimate","134,495"
"    Percent Distribution",""
"        Estimate","134,495"
"    Median income (dollars)",""
"        Estimate","62,858"
"Bexar County, Texas",""
"    Number",""
"        Estimate","730,119"
"    Percent Distribution",""
"        Estimate","730,119"
"    Median income (dollars)",""
"        Estimate","67,275"
"Blanco County, Texas",""
"    Number",""
"        Estimate","4,836"
"    Percent Distribution",""
"        Estimate","4,836"
"    Median income (dollars)",""
"        Estimate","79,717"
"Borden County, Texas",""
"    Number",""
"        Estimate","215"
"    Percent Distribution",""
"        Estimate","215"
"    Median income (dollars)",""
"        Estimate","80,625"
"Bosque County, Texas",""
"    Number",""
"        Estimate","7,277"
"    Percent Distribution",""
"        Estimate","7,277"
"    Median income (dollars)",""
"        Estimate","63,868"
"Bowie County, Texas",""
"    Number",""
"        Estimate","34,486"
"    Percent Distribution",""
"        Estimate","34,486"
"    Median income (dollars)",""
"        Estimate","56,628"
