year,state,county,zip_codes,population,ev_registrations,median_income
2018,FL,Jefferson County,"[32336, 32337, 32344, 32345, 32361]",14321.0,25.0,"48,173"
2018,FL,Lake County,"[32102, 32158, 32159, 32702, 32726, 32727, 32735, 32736, 32756, 32757, 32767, 32776, 32778, 32784, 34705, 34711, 34712, 34713, 34714, 34715, 34729, 34731, 34736, 34737, 34748, 34749, 34753, 34755, 34756, 34762, 34788, 34789, 34797]",356720.0,897.0,"51,884"
2018,FL,Lee County,"[33900, 33901, 33902, 33903, 33904, 33905, 33906, 33907, 33908, 33909, 33910, 33911, 33912, 33913, 33914, 33915, 33916, 33917, 33918, 33919, 33920, 33921, 33922, 33924, 33928, 33929, 33931, 33932, 33936, 33945, 33956, 33957, 33965, 33966, 33967, 33970, 33971, 33972, 33973, 33974, 33976, 33990, 33991, 33993, 33994, 34133, 34134, 34135, 34136]",754470.0,1764.0,"54,691"
2018,FL,Leon County,"[32301, 32302, 32303, 32304, 32305, 32306, 32307, 32308, 32309, 32310, 32311, 32312, 32313, 32314, 32315, 32316, 32317, 32318, 32362, 32395, 32399]",291657.0,656.0,"51,201"
2018,FL,Levy County,"[32621, 32625, 32626, 32639, 32644, 32668, 32683, 32696, 34449, 34498]",40798.0,23.0,"37,634"
2018,FL,Liberty County,"[32321, 32334, 32335, 32360]",8427.0,7.0,"37,363"
2018,FL,Madison County,"[32059, 32331, 32340, 32341, 32350]",18540.0,4.0,"35,509"
2018,FL,Manatee County,"[34201, 34202, 34203, 34204, 34205, 34206, 34207, 34208, 34209, 34210, 34211, 34212, 34215, 34216, 34217, 34218, 34219, 34220, 34221, 34222, 34243, 34250, 34251, 34264, 34270, 34280, 34281, 34282]",394387.0,1258.0,"56,036"
2018,FL,Marion County,"[32111, 32113, 32133, 32134, 32179, 32182, 32183, 32192, 32195, 32617, 32633, 32634, 32663, 32664, 32681, 32686, 34420, 34421, 34430, 34431, 34432, 34470, 34471, 34472, 34473, 34474, 34475, 34476, 34477, 34478, 34479, 34480, 34481, 34482, 34483, 34488, 34489, 34491, 34492]",359062.0,550.0,"43,361"
2018,FL,Martin County,"[33455, 33475, 34956, 34957, 34958, 34990, 34991, 34992, 34994, 34995, 34996, 34997]",160742.0,728.0,"57,959"
