zip,population,city,county,state
95307,47978,Ceres,Stanislaus County,Ca
94577,47937,San Leandro,Alameda County,Ca
92111,47710,San Diego,San Diego County,Ca
93635,47683,Los Banos,Merced County,Ca
90247,47682,Gardena,Los Angeles County,Ca
93010,47656,Camarillo,Ventura County,Ca
90033,47655,Los Angeles,Los Angeles County,Ca
92843,47549,Garden Grove,Orange County,Ca
94560,47470,Newark,Alameda County,Ca
94582,47338,San Ramon,Contra Costa County,Ca
90016,47309,Los Angeles,Los Angeles County,Ca
95136,47294,San Jose,Santa Clara County,Ca
95843,47195,Antelope,Sacramento County,Ca
90057,47142,Los Angeles,Los Angeles County,Ca
90620,47042,Buena Park,Orange County,Ca
93036,46959,Oxnard,Ventura County,Ca
92705,46854,Santa Ana,Orange County,Ca
91387,46812,Canyon Country,Los Angeles County,Ca
95209,46756,Stockton,San Joaquin County,Ca
92069,46648,San Marcos,San Diego County,Ca
93611,46620,Clovis,Fresno County,Ca
92104,46613,San Diego,San Diego County,Ca
95060,46527,Santa Cruz,Santa Cruz County,Ca
95822,46413,Sacramento,Sacramento County,Ca
92009,46334,Carlsbad,San Diego County,Ca
94014,46331,Daly City,San Mateo County,Ca
94928,46231,Rohnert Park,Sonoma County,Ca
95610,46219,Citrus Heights,Sacramento County,Ca
90638,46170,La Mirada,Los Angeles County,Ca
92101,46025,San Diego,San Diego County,Ca
92122,45988,San Diego,San Diego County,Ca
92692,45977,Mission Viejo,Orange County,Ca
92019,45937,El Cajon,San Diego County,Ca
92040,45906,Lakeside,San Diego County,Ca
95762,45842,El Dorado Hills,El Dorado County,Ca
90027,45764,Los Angeles,Los Angeles County,Ca
94546,45761,Castro Valley,Alameda County,Ca
93446,45720,Paso Robles,San Luis Obispo County,Ca
95148,45688,San Jose,Santa Clara County,Ca
92648,45667,Huntington Beach,Orange County,Ca
91352,45601,Sun Valley,Los Angeles County,Ca
90241,45341,Downey,Los Angeles County,Ca
91765,45303,Diamond Bar,Los Angeles County,Ca
93702,45248,Fresno,Fresno County,Ca
92545,45219,Hemet,Riverside County,Ca
95678,45210,Roseville,Placer County,Ca
94566,45145,Pleasanton,Alameda County,Ca
92374,44976,Redlands,San Bernardino County,Ca
92555,44923,Moreno Valley,Riverside County,Ca
90065,44897,Los Angeles,Los Angeles County,Ca
90032,44881,Los Angeles,Los Angeles County,Ca
91367,44862,Woodland Hills,Los Angeles County,Ca
91790,44855,West Covina,Los Angeles County,Ca
93726,44790,Fresno,Fresno County,Ca
93292,44759,Visalia,Tulare County,Ca
95403,44677,Santa Rosa,Sonoma County,Ca
90023,44558,Los Angeles,Los Angeles County,Ca
94561,44546,Oakley,Contra Costa County,Ca
94605,44477,Oakland,Alameda County,Ca
90043,44461,Los Angeles,Los Angeles County,Ca
95831,44450,Sacramento,Sacramento County,Ca
92688,44444,Rancho Santa Margarita,Orange County,Ca
90025,44429,Los Angeles,Los Angeles County,Ca
94804,44387,Richmond,Contra Costa County,Ca
92506,44344,Riverside,Riverside County,Ca
92802,44316,Anaheim,Orange County,Ca
90503,44280,Torrance,Los Angeles County,Ca
95628,44256,Fair Oaks,Sacramento County,Ca
92867,44216,Orange,Orange County,Ca
95380,44204,Turlock,Stanislaus County,Ca
95337,44192,Manteca,San Joaquin County,Ca
93455,44186,Santa Maria,Santa Barbara County,Ca
91320,44138,Newbury Park,Ventura County,Ca
94531,44115,Antioch,Contra Costa County,Ca
92109,44009,San Diego,San Diego County,Ca
95991,43978,Yuba City,Sutter County,Ca
96003,43945,Redding,Shasta County,Ca
94116,43903,San Francisco,San Francisco County,Ca
94403,43858,San Mateo,San Mateo County,Ca
91748,43851,Rowland Heights,Los Angeles County,Ca
91606,43552,North Hollywood,Los Angeles County,Ca
94010,43458,Burlingame,San Mateo County,Ca
93552,43371,Palmdale,Los Angeles County,Ca
94066,43369,San Bruno,San Mateo County,Ca
94121,43304,San Francisco,San Francisco County,Ca
92308,43191,Apple Valley,San Bernardino County,Ca
95765,43059,Rocklin,Placer County,Ca
91350,42970,Santa Clarita,Los Angeles County,Ca
91733,42953,South El Monte,Los Angeles County,Ca
90815,42759,Long Beach,Los Angeles County,Ca
95210,42654,Stockton,San Joaquin County,Ca
90278,42536,Redondo Beach,Los Angeles County,Ca
90501,42536,Torrance,Los Angeles County,Ca
93534,42515,Lancaster,Los Angeles County,Ca
92236,42506,Coachella,Riverside County,Ca
91360,42444,Thousand Oaks,Ventura County,Ca
95926,42362,Chico,Butte County,Ca
94578,42350,San Leandro,Alameda County,Ca
95407,42138,Santa Rosa,Sonoma County,Ca
95621,42089,Citrus Heights,Sacramento County,Ca
90275,41941,Rancho Palos Verdes,Los Angeles County,Ca
91016,41822,Monrovia,Los Angeles County,Ca
90242,41685,Downey,Los Angeles County,Ca
95301,41660,Atwater,Merced County,Ca
92821,41604,Brea,Orange County,Ca
93706,41523,Fresno,Fresno County,Ca
90605,41427,Whittier,Los Angeles County,Ca
94534,41395,Fairfield,Solano County,Ca
91789,41377,Walnut,Los Angeles County,Ca
93637,41324,Madera,Madera County,Ca
91739,41319,Rancho Cucamonga,San Bernardino County,Ca
95838,41311,Sacramento,Sacramento County,Ca
90045,41123,Los Angeles,Los Angeles County,Ca
93454,41110,Santa Maria,Santa Barbara County,Ca
94521,41092,Concord,Contra Costa County,Ca
92591,41047,Temecula,Riverside County,Ca
94025,41017,Menlo Park,San Mateo County,Ca
90007,41004,Los Angeles,Los Angeles County,Ca
91942,40995,La Mesa,San Diego County,Ca
95132,40981,San Jose,Santa Clara County,Ca
95835,40957,Sacramento,Sacramento County,Ca
92806,40945,Anaheim,Orange County,Ca
94901,40927,San Rafael,Marin County,Ca
95833,40908,Sacramento,Sacramento County,Ca
92240,40755,Desert Hot Springs,Riverside County,Ca
94134,40738,San Francisco,San Francisco County,Ca
90806,40688,Long Beach,Los Angeles County,Ca
92307,40534,Apple Valley,San Bernardino County,Ca
95826,40205,Sacramento,Sacramento County,Ca
91311,40196,Chatsworth,Los Angeles County,Ca
95688,40147,Vacaville,Solano County,Ca
95205,40128,Stockton,San Joaquin County,Ca
94118,40108,San Francisco,San Francisco County,Ca
92102,40051,San Diego,San Diego County,Ca
94551,40025,Livermore,Alameda County,Ca
90802,40012,Long Beach,Los Angeles County,Ca
93711,39963,Fresno,Fresno County,Ca
95691,39961,West Sacramento,Yolo County,Ca
92394,39939,Victorville,San Bernardino County,Ca
95050,39905,Santa Clara,Santa Clara County,Ca
95695,39892,Woodland,Yolo County,Ca
95129,39797,San Jose,Santa Clara County,Ca
90604,39795,Whittier,Los Angeles County,Ca
94611,39780,Oakland,Alameda County,Ca
94583,39758,San Ramon,Contra Costa County,Ca
90808,39698,Long Beach,Los Angeles County,Ca
94117,39496,San Francisco,San Francisco County,Ca
90059,39471,Los Angeles,Los Angeles County,Ca
91701,39323,Rancho Cucamonga,San Bernardino County,Ca
91401,39179,Van Nuys,Los Angeles County,Ca
93705,38777,Fresno,Fresno County,Ca
95382,38727,Turlock,Stanislaus County,Ca
92231,38674,Calexico,Imperial County,Ca
92301,38565,Adelanto,San Bernardino County,Ca
94606,38459,Oakland,Alameda County,Ca
90012,38430,Los Angeles,Los Angeles County,Ca
95928,38412,Chico,Butte County,Ca
92543,38403,Hemet,Riverside County,Ca
90020,38400,Los Angeles,Los Angeles County,Ca
95973,38323,Chico,Butte County,Ca
94954,38201,Petaluma,Sonoma County,Ca
94044,38061,Pacifica,San Mateo County,Ca
92672,38020,San Clemente,San Diego County,Ca
95120,38003,San Jose,Santa Clara County,Ca
94590,37991,Vallejo,Solano County,Ca
93021,37980,Moorpark,Ventura County,Ca
92253,37898,La Quinta,Riverside County,Ca
92083,37864,Vista,San Diego County,Ca
90005,37754,Los Angeles,Los Angeles County,Ca
90036,37713,Los Angeles,Los Angeles County,Ca
91763,37698,Montclair,San Bernardino County,Ca
94555,37671,Fremont,Alameda County,Ca
92037,37665,La Jolla,San Diego County,Ca
91711,37542,Claremont,Los Angeles County,Ca
94061,37539,Redwood City,San Mateo County,Ca
90031,37457,Los Angeles,Los Angeles County,Ca
93245,37439,Lemoore,Kings County,Ca
95404,37437,Santa Rosa,Sonoma County,Ca
95821,37436,Sacramento,Sacramento County,Ca
94124,37347,San Francisco,San Francisco County,Ca
90301,37341,Inglewood,Los Angeles County,Ca
91776,37340,San Gabriel,Los Angeles County,Ca
95825,37310,Sacramento,Sacramento County,Ca
