zip,population,city,county,state
34957,22523,Jensen Beach,Martin County,Fl
33935,22521,Labelle,Hendry County,Fl
33323,22506,Fort Lauderdale,Broward County,Fl
32060,22505,Live Oak,Suwannee County,Fl
33431,22488,Boca Raton,Palm Beach County,Fl
32713,22430,Debary,Volusia County,Fl
33903,22430,North Fort Myers,Lee County,Fl
34238,22426,Sarasota,Sarasota County,Fl
34788,22414,Leesburg,Lake County,Fl
32926,22379,Cocoa,Brevard County,Fl
32803,22067,Orlando,Orange County,Fl
32128,21829,Port Orange,Volusia County,Fl
32097,21778,Yulee,Nassau County,Fl
32504,21710,Pensacola,Escambia County,Fl
34234,21621,Sarasota,Sarasota County,Fl
32444,21564,Lynn Haven,Bay County,Fl
33487,21504,Boca Raton,Palm Beach County,Fl
33852,21394,Lake Placid,Highlands County,Fl
33763,21272,Clearwater,Pinellas County,Fl
33432,21270,Boca Raton,Palm Beach County,Fl
33434,21214,Boca Raton,Palm Beach County,Fl
32080,21167,Saint Augustine,St. Johns County,Fl
33455,20936,Hobe Sound,Martin County,Fl
34470,20903,Ocala,Marion County,Fl
33184,20850,Miami,Miami-Dade County,Fl
32796,20757,Titusville,Brevard County,Fl
34114,20716,Naples,Collier County,Fl
34275,20692,Nokomis,Sarasota County,Fl
32952,20666,Merritt Island,Brevard County,Fl
34286,20571,North Port,Sarasota County,Fl
32459,20558,Santa Rosa Beach,Walton County,Fl
32804,20542,Orlando,Orange County,Fl
33896,20528,Davenport,Osceola County,Fl
33430,20503,Belle Glade,Palm Beach County,Fl
33181,20448,Miami,Miami-Dade County,Fl
32311,20442,Tallahassee,Leon County,Fl
33760,20401,Clearwater,Pinellas County,Fl
33405,20377,West Palm Beach,Palm Beach County,Fl
33714,20370,Saint Petersburg,Pinellas County,Fl
32305,20265,Tallahassee,Leon County,Fl
32217,20219,Jacksonville,Duval County,Fl
32024,20155,Lake City,Columbia County,Fl
32821,20034,Orlando,Orange County,Fl
33635,19917,Tampa,Hillsborough County,Fl
34691,19868,Holiday,Pasco County,Fl
33440,19800,Clewiston,Hendry County,Fl
33140,19785,Miami Beach,Miami-Dade County,Fl
33774,19629,Largo,Pinellas County,Fl
33603,19545,Tampa,Hillsborough County,Fl
32966,19419,Vero Beach,Indian River County,Fl
34474,19380,Ocala,Marion County,Fl
33912,19370,Fort Myers,Lee County,Fl
32829,19353,Orlando,Orange County,Fl
33187,19346,Miami,Miami-Dade County,Fl
33559,19226,Lutz,Hillsborough County,Fl
33974,19218,Lehigh Acres,Lee County,Fl
34117,19218,Naples,Collier County,Fl
33525,19186,Dade City,Pasco County,Fl
34233,19179,Sarasota,Sarasota County,Fl
34223,19116,Englewood,Sarasota County,Fl
34972,19112,Okeechobee,Okeechobee County,Fl
33716,18987,Saint Petersburg,Pinellas County,Fl
32609,18983,Gainesville,Alachua County,Fl
33304,18923,Fort Lauderdale,Broward County,Fl
32226,18892,Jacksonville,Duval County,Fl
33472,18881,Boynton Beach,Palm Beach County,Fl
33523,18867,Dade City,Pasco County,Fl
33408,18839,North Palm Beach,Palm Beach County,Fl
34285,18791,Venice,Sarasota County,Fl
32541,18784,Destin,Okaloosa County,Fl
34984,18691,Port Saint Lucie,St. Lucie County,Fl
32141,18683,Edgewater,Volusia County,Fl
34446,18668,Homosassa,Citrus County,Fl
32408,18594,Panama City,Bay County,Fl
33761,18558,Clearwater,Pinellas County,Fl
34785,18487,Wildwood,Sumter County,Fl
33948,18440,Port Charlotte,Charlotte County,Fl
33609,18411,Tampa,Hillsborough County,Fl
34420,18396,Belleview,Marion County,Fl
32433,18387,Defuniak Springs,Walton County,Fl
32118,18141,Daytona Beach,Volusia County,Fl
33413,18125,West Palm Beach,Palm Beach County,Fl
34465,18121,Beverly Hills,Citrus County,Fl
32401,18120,Panama City,Bay County,Fl
34613,18071,Brooksville,Hernando County,Fl
32934,18030,Melbourne,Brevard County,Fl
33549,18016,Lutz,Hillsborough County,Fl
33711,17984,Saint Petersburg,Pinellas County,Fl
33146,17962,Miami,Miami-Dade County,Fl
34994,17958,Stuart,Martin County,Fl
32827,17918,Orlando,Orange County,Fl
34237,17877,Sarasota,Sarasota County,Fl
33976,17874,Lehigh Acres,Lee County,Fl
34685,17869,Palm Harbor,Pinellas County,Fl
33777,17860,Seminole,Pinellas County,Fl
34695,17853,Safety Harbor,Pinellas County,Fl
32428,17801,Chipley,Washington County,Fl
32805,17791,Orlando,Orange County,Fl
33565,17767,Plant City,Hillsborough County,Fl
33602,17631,Tampa,Hillsborough County,Fl
34950,17623,Fort Pierce,St. Lucie County,Fl
33759,17607,Clearwater,Pinellas County,Fl
33637,17507,Tampa,Hillsborough County,Fl
33534,17479,Gibsonton,Hillsborough County,Fl
33701,17464,Saint Petersburg,Pinellas County,Fl
33132,17136,Miami,Miami-Dade County,Fl
33301,17069,Fort Lauderdale,Broward County,Fl
33898,17066,Lake Wales,Polk County,Fl
33190,16909,Miami,Miami-Dade County,Fl
32641,16898,Gainesville,Alachua County,Fl
32222,16869,Jacksonville,Duval County,Fl
33498,16866,Boca Raton,Palm Beach County,Fl
33136,16854,Miami,Miami-Dade County,Fl
34951,16853,Fort Pierce,St. Lucie County,Fl
33035,16788,Homestead,Miami-Dade County,Fl
32091,16729,Starke,Bradford County,Fl
34442,16674,Hernando,Citrus County,Fl
33983,16637,Punta Gorda,Charlotte County,Fl
34610,16620,Spring Hill,Pasco County,Fl
32351,16563,Quincy,Gadsden County,Fl
34211,16508,Bradenton,Manatee County,Fl
34105,16462,Naples,Collier County,Fl
34210,16461,Bradenton,Manatee County,Fl
33004,16449,Dania,Broward County,Fl
34292,16426,Venice,Sarasota County,Fl
32766,16425,Oviedo,Seminole County,Fl
32095,16419,Saint Augustine,St. Johns County,Fl
34108,16401,Naples,Collier County,Fl
33527,16342,Dover,Hillsborough County,Fl
33066,16316,Pompano Beach,Broward County,Fl
33704,16275,Saint Petersburg,Pinellas County,Fl
33773,16272,Largo,Pinellas County,Fl
32206,16210,Jacksonville,Duval County,Fl
32055,16175,Lake City,Columbia County,Fl
33605,16166,Tampa,Hillsborough County,Fl
32669,16100,Newberry,Alachua County,Fl
34145,15942,Marco Island,Collier County,Fl
34134,15859,Bonita Springs,Lee County,Fl
33778,15651,Largo,Pinellas County,Fl
34241,15608,Sarasota,Sarasota County,Fl
32653,15524,Gainesville,Alachua County,Fl
32968,15456,Vero Beach,Indian River County,Fl
32534,15448,Pensacola,Escambia County,Fl
33706,15433,Saint Petersburg,Pinellas County,Fl
32615,15295,Alachua,Alachua County,Fl
34224,15263,Englewood,Charlotte County,Fl
33708,15222,Saint Petersburg,Pinellas County,Fl
33972,15218,Lehigh Acres,Lee County,Fl
32922,15198,Cocoa,Brevard County,Fl
33129,15184,Miami,Miami-Dade County,Fl
32963,15117,Vero Beach,Indian River County,Fl
